Area,Date,Confirmed,Deaths
AK,2020-08-16 00:00:00-04:00,5060,28
AL,2020-08-16 11:00:00-04:00,108433,1898
AR,2020-08-16 16:31:00-04:00,52665,599
AS,2020-08-15 00:00:00-04:00,0,0
AZ,2020-08-16 00:00:00-04:00,193537,4506
CA,2020-08-16 00:00:00-04:00,621562,11224
CO,2020-08-15 01:59:00-04:00,52838,1768
CT,2020-08-14 16:00:00-04:00,50897,4453
DC,2020-08-15 00:00:00-04:00,13220,597
DE,2020-08-15 18:00:00-04:00,16451,593
FL,2020-08-15 23:59:00-04:00,573416,9587
GA,2020-08-16 14:50:00-04:00,237030,4702
GU,2020-08-15 20:00:00-04:00,516,5
HI,2020-08-14 22:38:00-04:00,4825,40
IA,2020-08-16 00:00:00-04:00,52428,975
ID,2020-08-15 19:00:00-04:00,27477,269
IL,2020-08-16 00:00:00-04:00,207413,7955
IN,2020-08-15 23:59:00-04:00,80415,3133
KS,2020-08-14 10:00:00-04:00,33885,402
KY,2020-08-16 00:00:00-04:00,39315,813
LA,2020-08-16 13:00:00-04:00,137918,4507
MA,2020-08-16 10:00:00-04:00,123200,8829
MD,2020-08-16 10:00:00-04:00,100212,3639
ME,2020-08-15 23:59:00-04:00,4168,127
MI,2020-08-16 00:00:00-04:00,102259,6592
MN,2020-08-15 17:00:00-04:00,65152,1752
MO,2020-08-16 00:00:00-04:00,67475,1367
MP,2020-08-14 04:04:00-04:00,50,2
MS,2020-08-16 00:00:00-04:00,72136,2084
MT,2020-08-16 00:00:00-04:00,5750,82
NC,2020-08-16 12:20:00-04:00,144952,2347
ND,2020-08-16 00:00:00-04:00,8587,105
NE,2020-08-15 20:20:00-04:00,30241,361
NH,2020-08-16 09:00:00-04:00,6988,423
NJ,2020-08-16 00:00:00-04:00,187455,15912
NM,2020-08-15 17:50:00-04:00,23302,711
NV,2020-08-16 02:59:00-04:00,61305,1072
NY,2020-08-15 23:59:00-04:00,425508,25250
OH,2020-08-16 14:00:00-04:00,108287,3826
OK,2020-08-16 00:00:00-04:00,48342,661
OR,2020-08-16 00:00:00-04:00,23262,388
PA,2020-08-16 00:00:00-04:00,124460,7468
PR,2020-08-16 00:00:00-04:00,26006,335
RI,2020-08-14 12:00:00-04:00,20335,1021
SC,2020-08-15 23:59:00-04:00,106497,2269
SD,2020-08-15 14:00:00-04:00,10274,153
TN,2020-08-16 15:00:00-04:00,133708,1366
TX,2020-08-16 16:50:00-04:00,535582,9983
UT,2020-08-16 13:17:00-04:00,46652,363
VA,2020-08-15 17:00:00-04:00,106687,2381
VI,2020-08-16 07:10:00-04:00,741,9
VT,2020-08-16 00:00:00-04:00,1515,58
WA,2020-08-15 02:59:00-04:00,66885,1766
WI,2020-08-16 00:00:00-04:00,70246,1046
WV,2020-08-16 10:00:00-04:00,8564,160
WY,2020-08-16 11:47:00-04:00,3286,30
