Area,Date,Confirmed,Deaths
AK,2020-09-27 03:59:00-04:00,8431,56
AL,2020-09-27 11:00:00-04:00,152321,2501
AR,2020-09-27 00:00:00-04:00,81242,1308
AS,2020-09-01 00:00:00-04:00,0,0
AZ,2020-09-27 00:00:00-04:00,217237,5623
CA,2020-09-27 02:59:00-04:00,802308,15587
CO,2020-09-26 01:59:00-04:00,68510,1940
CT,2020-09-24 20:30:00-04:00,56587,4501
DC,2020-09-26 00:00:00-04:00,15250,624
DE,2020-09-26 18:00:00-04:00,20260,633
FL,2020-09-26 23:59:00-04:00,700564,14202
GA,2020-09-27 14:50:00-04:00,314685,6946
GU,2020-09-26 09:45:00-04:00,2354,43
HI,2020-09-26 18:00:00-04:00,12018,131
IA,2020-09-27 00:00:00-04:00,83636,1314
ID,2020-09-26 19:00:00-04:00,40296,460
IL,2020-09-27 00:00:00-04:00,290419,8845
IN,2020-09-26 23:59:00-04:00,117450,3580
KS,2020-09-25 10:00:00-04:00,56592,632
KY,2020-09-27 00:00:00-04:00,66491,1157
LA,2020-09-27 13:00:00-04:00,166075,5465
MA,2020-09-27 08:00:00-04:00,130642,9404
MD,2020-09-27 10:00:00-04:00,123403,3935
ME,2020-09-26 23:59:00-04:00,5288,140
MI,2020-09-26 00:00:00-04:00,134373,7044
MN,2020-09-26 17:00:00-04:00,96734,2060
MO,2020-09-27 00:00:00-04:00,123406,2063
MP,2020-09-26 00:00:00-04:00,70,2
MS,2020-09-26 00:00:00-04:00,96859,2919
MT,2020-09-27 01:59:00-04:00,12107,173
NC,2020-09-27 12:05:00-04:00,207380,3441
ND,2020-09-27 01:59:00-04:00,20724,156
NE,2020-09-26 20:30:00-04:00,43596,469
NH,2020-09-26 09:00:00-04:00,8121,439
NJ,2020-09-27 00:00:00-04:00,203548,16109
NM,2020-09-26 17:30:00-04:00,28692,870
NV,2020-09-27 02:59:00-04:00,78728,1585
NY,2020-09-26 23:59:00-04:00,455626,25456
OH,2020-09-27 14:00:00-04:00,150809,4741
OK,2020-09-26 00:00:00-04:00,83510,1004
OR,2020-09-27 03:01:00-04:00,32820,547
PA,2020-09-27 12:00:00-04:00,156150,8106
PR,2020-09-27 00:00:00-04:00,46304,644
RI,2020-09-25 12:00:00-04:00,24181,1107
SC,2020-09-26 11:59:00-04:00,145887,3326
SD,2020-09-26 14:00:00-04:00,21541,218
TN,2020-09-27 15:00:00-04:00,192995,2377
TX,2020-09-27 15:55:00-04:00,735132,15522
UT,2020-09-27 11:11:00-04:00,70615,453
VA,2020-09-26 17:00:00-04:00,146144,3159
VI,2020-09-26 20:47:00-04:00,1317,19
VT,2020-09-26 23:59:00-04:00,1742,58
WA,2020-09-26 02:59:00-04:00,85830,2100
WI,2020-09-27 00:00:00-04:00,122478,1291
WV,2020-09-26 23:59:00-04:00,15348,334
WY,2020-09-27 11:33:00-04:00,5633,50
