Area,Date,Confirmed,Deaths
AK,2020-05-30 00:00:00-04:00,434,10
AL,2020-05-30 00:00:00-04:00,17359,618
AR,2020-05-30 15:13:00-04:00,7013,133
AZ,2020-05-30 00:00:00-04:00,19255,903
CA,2020-05-30 00:00:00-04:00,106878,4156
CO,2020-05-30 00:00:00-04:00,25613,1436
CT,2020-05-29 20:30:00-04:00,42022,3912
DC,2020-05-29 00:00:00-04:00,8717,462
DE,2020-05-29 18:00:00-04:00,9422,361
FL,2020-05-30 11:24:00-04:00,55424,2530
GA,2020-05-30 13:00:00-04:00,46286,2003
HI,2020-05-29 18:00:00-04:00,649,17
IA,2020-05-30 00:00:00-04:00,19244,531
ID,2020-05-29 19:00:00-04:00,2803,82
IL,2020-05-30 00:00:00-04:00,118917,5330
IN,2020-05-29 23:59:00-04:00,34211,2125
KS,2020-05-29 10:00:00-04:00,9719,208
KY,2020-05-29 17:00:00-04:00,9464,418
LA,2020-05-30 13:00:00-04:00,39577,2785
MA,2020-05-30 10:00:00-04:00,96301,6768
MD,2020-05-30 00:00:00-04:00,52015,2509
ME,2020-05-29 23:59:00-04:00,2282,89
MI,2020-05-30 11:00:00-04:00,56884,5463
MN,2020-05-29 17:00:00-04:00,24190,1036
MO,2020-05-30 00:00:00-04:00,12962,771
MS,2020-05-29 19:00:00-04:00,15229,723
MT,2020-05-30 00:00:00-04:00,505,17
NC,2020-05-30 11:20:00-04:00,27673,877
ND,2020-05-30 15:11:00-04:00,2554,60
NE,2020-05-29 19:45:00-04:00,13654,170
NH,2020-05-29 09:00:00-04:00,4492,238
NJ,2020-05-30 13:00:00-04:00,159608,11634
NM,2020-05-29 17:56:00-04:00,7493,344
NV,2020-05-30 10:30:00-04:00,8495,417
NY,2020-05-30 00:00:00-04:00,369660,23848
OH,2020-05-30 14:00:00-04:00,35034,2149
OK,2020-05-30 00:00:00-04:00,6418,334
OR,2020-05-30 03:01:00-04:00,4185,153
PA,2020-05-30 12:30:00-04:00,72031,5537
RI,2020-05-30 12:00:00-04:00,14819,711
SC,2020-05-29 15:30:00-04:00,11394,487
SD,2020-05-29 18:00:00-04:00,4960,62
TN,2020-05-30 15:00:00-04:00,22566,364
TX,2020-05-29 16:45:00-04:00,61006,1626
UT,2020-05-30 15:00:00-04:00,9533,112
VA,2020-05-29 17:00:00-04:00,43611,1370
VT,2020-05-30 00:00:00-04:00,977,55
WA,2020-05-30 02:59:00-04:00,21071,1111
WI,2020-05-30 16:00:00-04:00,18230,588
WV,2020-05-30 10:00:00-04:00,1974,75
WY,2020-05-30 00:00:00-04:00,898,16
PR,2020-05-30 04:51:00-04:00,3718,133
AS,2020-05-29 00:00:00-04:00,0,0
GU,2020-05-30 03:05:00-04:00,173,5
MP,2020-05-29 20:27:00-04:00,22,2
VI,2020-05-29 16:58:00-04:00,69,6
