Area,Date,Confirmed,Deaths
AK,2020-11-14 03:59:00-05:00,22405,98
AL,2020-11-14 11:00:00-05:00,215843,3246
AR,2020-11-14 00:00:00-05:00,130318,2148
AS,2020-11-01 00:00:00-04:00,0,0
AZ,2020-11-14 00:00:00-05:00,273053,6300
CA,2020-11-14 02:59:00-05:00,1008377,18218
CO,2020-11-13 01:59:00-05:00,154038,2234
CT,2020-11-12 20:30:00-05:00,88645,4737
DC,2020-11-13 00:00:00-05:00,18814,658
DE,2020-11-13 18:00:00-05:00,28395,736
FL,2020-11-13 23:59:00-05:00,862990,17704
GA,2020-11-14 14:50:00-05:00,384997,8956
GU,2020-11-14 04:05:00-05:00,5965,93
HI,2020-11-13 21:00:00-05:00,16652,222
IA,2020-11-14 00:00:00-05:00,163728,1972
ID,2020-11-13 19:00:00-05:00,79798,752
IL,2020-11-14 00:00:00-05:00,562985,11088
IN,2020-11-13 11:59:00-05:00,244887,4888
KS,2020-11-13 10:00:00-05:00,115507,1256
KY,2020-11-14 00:00:00-05:00,136137,1658
LA,2020-11-13 13:00:00-05:00,201981,6121
MA,2020-11-14 08:00:00-05:00,186142,10293
MD,2020-11-14 10:00:00-05:00,164090,4293
ME,2020-11-13 23:59:00-05:00,8791,163
MI,2020-11-14 00:00:00-05:00,275792,8376
MN,2020-11-13 17:00:00-05:00,216028,2874
MO,2020-11-14 00:59:00-05:00,235722,3373
MP,2020-11-13 00:00:00-05:00,100,2
MS,2020-11-13 00:00:00-05:00,133340,3540
MT,2020-11-14 01:59:00-05:00,45886,514
NC,2020-11-14 12:00:00-05:00,309118,4756
ND,2020-11-14 01:59:00-05:00,62872,570
NE,2020-11-13 22:00:00-05:00,94922,775
NH,2020-11-14 09:00:00-05:00,14311,499
NJ,2020-11-14 00:00:00-05:00,274736,16548
NM,2020-11-13 17:50:00-05:00,62006,1198
NV,2020-11-14 00:00:00-05:00,119006,1908
NY,2020-11-13 23:59:00-05:00,556551,26103
OH,2020-11-14 14:00:00-05:00,290243,5714
OK,2020-11-14 00:00:00-05:00,150205,1516
OR,2020-11-14 03:01:00-05:00,56018,759
PA,2020-11-14 14:00:00-05:00,259938,9274
PR,2020-11-14 00:00:00-05:00,41772,921
RI,2020-11-13 13:00:00-05:00,41529,1254
SC,2020-11-13 23:59:00-05:00,194014,4110
SD,2020-11-13 14:00:00-05:00,64182,621
TN,2020-11-14 15:00:00-05:00,305120,3877
TX,2020-11-14 16:00:00-05:00,1014160,19470
UT,2020-11-14 11:34:00-05:00,151141,710
VA,2020-11-13 17:00:00-05:00,200799,3799
VI,2020-11-14 07:10:00-05:00,1434,23
VT,2020-11-13 23:59:00-05:00,2843,59
WA,2020-11-13 02:59:00-05:00,125498,2519
WI,2020-11-14 00:00:00-05:00,323604,2739
WV,2020-11-13 23:59:00-05:00,32792,574
WY,2020-11-14 13:01:00-05:00,21881,144
