Area,Date,Confirmed,Deaths
AK,2020-09-04 03:59:00-04:00,6469,40
AL,2020-09-04 11:00:00-04:00,130393,2266
AR,2020-09-04 14:34:00-04:00,64175,873
AS,2020-08-15 00:00:00-04:00,0,0
AZ,2020-09-04 00:00:00-04:00,204681,5171
CA,2020-09-04 02:59:00-04:00,722283,13490
CO,2020-09-03 01:59:00-04:00,58287,1861
CT,2020-09-03 20:30:00-04:00,53365,4468
DC,2020-09-03 00:00:00-04:00,14186,611
DE,2020-09-03 18:00:00-04:00,17752,606
FL,2020-09-03 23:59:00-04:00,640211,11903
GA,2020-09-04 14:50:00-04:00,279354,5931
GU,2020-09-04 06:00:00-04:00,1619,14
HI,2020-09-03 05:59:00-04:00,9202,79
IA,2020-09-04 00:00:00-04:00,66614,1141
ID,2020-09-03 19:00:00-04:00,32927,372
IL,2020-09-04 00:00:00-04:00,247299,8362
IN,2020-09-03 23:59:00-04:00,97884,3350
KS,2020-09-04 10:00:00-04:00,45220,481
KY,2020-09-04 00:00:00-04:00,51677,987
LA,2020-09-04 13:00:00-04:00,152369,5035
MA,2020-09-04 08:00:00-04:00,121758,9100
MD,2020-09-04 10:00:00-04:00,110831,3789
ME,2020-09-03 23:59:00-04:00,4632,134
MI,2020-09-04 00:00:00-04:00,116295,6798
MN,2020-09-03 17:00:00-04:00,78966,1899
MO,2020-09-04 00:00:00-04:00,90215,1562
MP,2020-09-01 00:00:00-04:00,57,2
MS,2020-09-03 00:00:00-04:00,85939,2558
MT,2020-09-04 01:59:00-04:00,8019,114
NC,2020-09-04 12:10:00-04:00,174254,2839
ND,2020-09-04 01:59:00-04:00,12973,125
NE,2020-09-03 20:30:00-04:00,35469,404
NH,2020-09-04 09:00:00-04:00,7368,432
NJ,2020-09-04 00:00:00-04:00,193422,15978
NM,2020-09-03 17:50:00-04:00,25812,791
NV,2020-09-04 02:59:00-04:00,70712,1375
NY,2020-09-03 23:59:00-04:00,437971,25348
OH,2020-09-04 14:00:00-04:00,128444,4248
OK,2020-09-04 00:00:00-04:00,62040,846
OR,2020-09-04 03:01:00-04:00,27601,475
PA,2020-09-04 15:00:00-04:00,137662,7742
PR,2020-09-04 00:00:00-04:00,34241,455
RI,2020-09-04 12:00:00-04:00,22243,1055
SC,2020-09-03 23:59:00-04:00,123325,2846
SD,2020-09-03 14:00:00-04:00,14596,170
TN,2020-09-04 15:00:00-04:00,160597,1837
TX,2020-09-04 18:00:00-04:00,630829,13231
UT,2020-09-04 11:00:00-04:00,53839,419
VA,2020-09-03 17:00:00-04:00,124779,2662
VI,2020-09-03 21:39:00-04:00,1150,16
VT,2020-09-03 23:39:00-04:00,1642,58
WA,2020-09-03 02:59:00-04:00,75856,1945
WI,2020-09-04 00:00:00-04:00,84464,1161
WV,2020-09-03 23:59:00-04:00,11037,243
WY,2020-09-04 17:44:00-04:00,3989,42
