Area,Date,Confirmed,Deaths
AK,2020-08-08 00:00:00-04:00,4373,26
AL,2020-08-08 11:00:00-04:00,98387,1735
AR,2020-08-07 15:30:00-04:00,48039,521
AS,2020-07-24 00:00:00-04:00,0,0
AZ,2020-08-08 00:00:00-04:00,186107,4137
CA,2020-08-08 00:00:00-04:00,545787,10189
CO,2020-08-07 01:59:00-04:00,49893,1736
CT,2020-08-06 20:30:00-04:00,50320,4441
DC,2020-08-07 00:00:00-04:00,12653,590
DE,2020-08-07 18:00:00-04:00,15502,590
FL,2020-08-07 23:59:00-04:00,526577,8238
GA,2020-08-08 14:50:00-04:00,213427,4186
GU,2020-08-08 01:45:00-04:00,412,5
HI,2020-08-07 23:38:00-04:00,3115,31
IA,2020-08-08 00:00:00-04:00,48283,925
ID,2020-08-07 18:46:00-04:00,23922,229
IL,2020-08-08 00:00:00-04:00,193998,7840
IN,2020-08-07 23:59:00-04:00,73287,3036
KS,2020-08-07 10:00:00-04:00,30638,380
KY,2020-08-08 00:00:00-04:00,34578,772
LA,2020-08-07 00:00:00-04:00,128746,4207
MA,2020-08-08 10:00:00-04:00,120711,8721
MD,2020-08-08 10:00:00-04:00,94581,3577
ME,2020-08-07 23:59:00-04:00,4026,125
MI,2020-08-08 00:00:00-04:00,96191,6520
MN,2020-08-07 17:00:00-04:00,60101,1689
MO,2020-08-07 00:00:00-04:00,57379,1301
MP,2020-08-08 06:59:00-04:00,48,2
MS,2020-08-07 19:00:00-04:00,66646,1874
MT,2020-08-08 00:00:00-04:00,4889,75
NC,2020-08-08 12:10:00-04:00,134766,2160
ND,2020-08-08 00:00:00-04:00,7508,98
NE,2020-08-07 20:15:00-04:00,28104,345
NH,2020-08-08 09:00:00-04:00,6818,419
NJ,2020-08-08 00:00:00-04:00,184429,15869
NM,2020-08-07 17:50:00-04:00,21965,675
NV,2020-08-08 02:59:00-04:00,55419,949
NY,2020-08-07 23:59:00-04:00,420345,25195
OH,2020-08-08 14:00:00-04:00,99969,3668
OK,2020-08-08 00:00:00-04:00,43080,603
OR,2020-08-08 00:00:00-04:00,21010,355
PA,2020-08-08 00:00:00-04:00,118092,7313
PR,2020-08-08 00:00:00-04:00,21424,274
RI,2020-08-07 12:00:00-04:00,19738,1014
SC,2020-08-07 23:59:00-04:00,99460,2007
SD,2020-08-07 14:00:00-04:00,9477,146
TN,2020-08-08 15:00:00-04:00,120585,1215
TX,2020-08-08 16:35:00-04:00,481483,8343
UT,2020-08-08 11:03:00-04:00,43751,335
VA,2020-08-07 17:00:00-04:00,99189,2322
VI,2020-08-07 21:11:00-04:00,528,9
VT,2020-08-08 00:00:00-04:00,1454,58
WA,2020-08-06 20:30:00-04:00,61587,1672
WI,2020-08-08 00:00:00-04:00,64213,1003
WV,2020-08-08 10:00:00-04:00,7563,131
WY,2020-08-08 12:22:00-04:00,3013,28
