Area,Date,Confirmed,Deaths
AK,2020-05-22 00:00:00-04:00,404,10
AL,2020-05-22 00:00:00-04:00,13563,537
AR,2020-05-22 00:00:00-04:00,5612,113
AZ,2020-05-22 00:00:00-04:00,15608,775
CA,2020-05-21 00:00:00-04:00,88444,3630
CO,2020-05-22 00:00:00-04:00,23191,1310
CT,2020-05-21 20:30:00-04:00,39640,3637
DC,2020-05-21 00:00:00-04:00,7893,418
DE,2020-05-21 18:00:00-04:00,8529,322
FL,2020-05-22 09:39:00-04:00,49451,2268
GA,2020-05-22 13:00:00-04:00,41218,1785
HI,2020-05-21 00:00:00-04:00,647,17
IA,2020-05-22 00:00:00-04:00,16504,425
ID,2020-05-21 19:00:00-04:00,2534,77
IL,2020-05-22 00:00:00-04:00,105444,4715
IN,2020-05-21 23:59:00-04:00,30409,1941
KS,2020-05-22 10:00:00-04:00,8958,185
KY,2020-05-21 17:00:00-04:00,8286,386
LA,2020-05-22 13:00:00-04:00,36925,2668
MA,2020-05-22 10:00:00-04:00,90889,6228
MD,2020-05-22 10:00:00-04:00,44424,2207
ME,2020-05-22 12:30:00-04:00,1948,75
MI,2020-05-22 11:00:00-04:00,53913,5158
MN,2020-05-21 17:00:00-04:00,19005,851
MO,2020-05-22 15:00:00-04:00,11558,671
MS,2020-05-21 19:00:00-04:00,12624,596
MT,2020-05-22 12:05:00-04:00,479,16
NC,2020-05-22 10:51:00-04:00,21618,728
ND,2020-05-22 13:00:00-04:00,2317,52
NE,2020-05-21 19:50:00-04:00,11425,143
NH,2020-05-21 09:00:00-04:00,3935,199
NJ,2020-05-22 13:00:00-04:00,152719,10985
NM,2020-05-21 18:00:00-04:00,6472,294
NV,2020-05-22 09:30:00-04:00,7401,381
NY,2020-05-22 00:00:00-04:00,358154,23195
OH,2020-05-22 14:00:00-04:00,30794,1872
OK,2020-05-22 00:00:00-04:00,5849,307
OR,2020-05-22 11:00:00-04:00,3864,147
PA,2020-05-22 00:00:00-04:00,66258,4984
RI,2020-05-22 00:00:00-04:00,13736,579
SC,2020-05-22 16:00:00-04:00,9638,419
SD,2020-05-21 18:00:00-04:00,4356,50
TN,2020-05-22 15:00:00-04:00,19394,315
TX,2020-05-21 17:55:00-04:00,52268,1440
UT,2020-05-22 15:00:00-04:00,8057,93
VA,2020-05-21 17:00:00-04:00,34950,1136
VT,2020-05-22 00:00:00-04:00,952,54
WA,2020-05-21 02:59:00-04:00,19117,1044
WI,2020-05-22 00:00:00-04:00,14396,496
WV,2020-05-22 10:00:00-04:00,1616,71
WY,2020-05-21 18:02:00-04:00,803,12
PR,2020-05-22 05:51:00-04:00,3030,126
AS,2020-05-19 00:00:00-04:00,0,0
GU,2020-05-22 05:35:00-04:00,165,5
MP,2020-05-22 00:00:00-04:00,22,2
VI,2020-05-22 07:29:00-04:00,69,6
