Area,Date,Confirmed,Deaths
AK,2021-02-25 03:59:00-05:00,55886,290
AL,2021-02-26 11:00:00-05:00,491849,9869
AR,2021-02-26 00:00:00-05:00,318638,5407
AS,2020-12-01 00:00:00-05:00,0,0
AZ,2021-02-26 00:00:00-05:00,814528,15897
CA,2021-02-26 02:59:00-05:00,3465726,51382
CO,2021-02-26 01:59:00-05:00,426198,5940
CT,2021-02-25 23:59:00-05:00,279946,7622
DC,2021-02-25 00:00:00-05:00,40284,1009
DE,2021-02-25 18:00:00-05:00,86098,1418
FL,2021-02-25 23:59:00-05:00,1863453,31162
GA,2021-02-26 14:50:00-05:00,1000822,17219
GU,2021-02-26 04:30:00-05:00,7734,130
HI,2021-02-24 14:30:00-05:00,28166,437
IA,2021-02-26 00:00:00-05:00,279429,5463
ID,2021-02-25 19:08:00-05:00,170595,1850
IL,2021-02-26 00:00:00-05:00,1183667,22675
IN,2021-02-25 23:59:00-05:00,660071,12531
KS,2021-02-26 10:00:00-05:00,293663,4735
KY,2021-02-26 00:00:00-05:00,402926,4600
LA,2021-02-26 13:00:00-05:00,428592,9587
MA,2021-02-25 23:59:00-05:00,577980,16024
MD,2021-02-26 10:00:00-05:00,380436,7838
ME,2021-02-25 23:59:00-05:00,44295,701
MI,2021-02-26 00:00:00-05:00,644125,16438
MN,2021-02-25 17:00:00-05:00,482978,6462
MO,2021-02-26 00:59:00-05:00,477472,7913
MP,2021-02-20 00:00:00-05:00,143,2
MS,2021-02-25 00:00:00-05:00,293542,6638
MT,2021-02-26 01:59:00-05:00,99613,1354
NC,2021-02-26 11:40:00-05:00,855905,11186
ND,2021-02-26 01:59:00-05:00,99711,1472
NE,2021-02-26 10:00:00-05:00,200403,2078
NH,2021-02-25 09:00:00-05:00,74568,1163
NJ,2021-02-26 00:00:00-05:00,782833,23192
NM,2021-02-26 17:53:00-05:00,184736,3685
NV,2021-02-25 00:00:00-05:00,293029,4942
NY,2021-02-25 14:00:00-05:00,1614724,38321
OH,2021-02-26 14:00:00-05:00,964380,17183
OR,2021-02-25 03:01:00-05:00,154554,2204
PA,2021-02-26 12:00:00-05:00,926336,23937
PR,2021-02-26 00:00:00-05:00,99860,2023
RI,2021-02-26 13:00:00-05:00,125622,2502
SC,2021-02-24 23:59:00-05:00,513295,8477
SD,2021-02-25 14:00:00-05:00,112107,1879
TN,2021-02-26 15:00:00-05:00,772513,11377
TX,2021-02-26 16:10:00-05:00,2629136,42575
UT,2021-02-26 11:08:00-05:00,370084,1907
VA,2021-02-25 17:00:00-05:00,572639,8197
VI,2021-02-26 00:07:00-05:00,2636,25
VT,2021-02-25 23:59:00-05:00,14963,204
WA,2021-02-25 02:59:00-05:00,337653,4942
WI,2021-02-26 00:00:00-05:00,616018,6999
WV,2021-02-25 23:59:00-05:00,131234,2291
WY,2021-02-26 00:00:00-05:00,54350,671
