Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-07-02T00:00:00+02:00,35744,1838
Bayern,2020-07-02T00:00:00+02:00,48547,2597
Berlin,2020-07-02T00:00:00+02:00,8302,214
Brandenburg,2020-07-02T00:00:00+02:00,3443,165
Bremen,2020-07-02T00:00:00+02:00,1670,53
Hamburg,2020-07-02T00:00:00+02:00,5211,260
Hessen,2020-07-02T00:00:00+02:00,10869,507
Mecklenburg-Vorpommern,2020-07-02T00:00:00+02:00,803,20
Niedersachsen,2020-07-02T00:00:00+02:00,13605,632
Nordrhein-Westfalen,2020-07-02T00:00:00+02:00,43436,1684
Rheinland-Pfalz,2020-07-02T00:00:00+02:00,7036,235
Saarland,2020-07-02T00:00:00+02:00,2807,173
Sachsen,2020-07-02T00:00:00+02:00,5457,224
Sachsen-Anhalt,2020-07-02T00:00:00+02:00,1876,59
Schleswig-Holstein,2020-07-02T00:00:00+02:00,3163,152
Thüringen,2020-07-02T00:00:00+02:00,3259,181
