Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2023-03-06T00:00:00+01:00,5059615,19232
Bayern,09,2023-03-06T00:00:00+01:00,6735270,28566
Berlin,11,2023-03-06T00:00:00+01:00,1429501,5547
Brandenburg,12,2023-03-06T00:00:00+01:00,1112965,6492
Bremen,04,2023-03-06T00:00:00+01:00,303332,964
Hamburg,02,2023-03-06T00:00:00+01:00,806693,3612
Hessen,06,2023-03-06T00:00:00+01:00,2925570,12366
Mecklenburg-Vorpommern,13,2023-03-06T00:00:00+01:00,711080,2762
Niedersachsen,03,2023-03-06T00:00:00+01:00,3857191,13633
Nordrhein-Westfalen,05,2023-03-06T00:00:00+01:00,8037659,31309
Rheinland-Pfalz,07,2023-03-06T00:00:00+01:00,1767816,6956
Saarland,10,2023-03-06T00:00:00+01:00,491906,2126
Sachsen,14,2023-03-06T00:00:00+01:00,1954347,16798
Sachsen-Anhalt,15,2023-03-06T00:00:00+01:00,960170,6276
Schleswig-Holstein,01,2023-03-06T00:00:00+01:00,1174634,3472
Thüringen,16,2023-03-06T00:00:00+01:00,883102,8286
