Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-10-06T00:00:00+02:00,51191,1894
Bayern,2020-10-06T00:00:00+02:00,70006,2674
Berlin,2020-10-06T00:00:00+02:00,15949,231
Brandenburg,2020-10-06T00:00:00+02:00,4447,169
Bremen,2020-10-06T00:00:00+02:00,2632,59
Hamburg,2020-10-06T00:00:00+02:00,8339,273
Hessen,2020-10-06T00:00:00+02:00,20113,556
Mecklenburg-Vorpommern,2020-10-06T00:00:00+02:00,1293,20
Niedersachsen,2020-10-06T00:00:00+02:00,21284,691
Nordrhein-Westfalen,2020-10-06T00:00:00+02:00,73842,1886
Rheinland-Pfalz,2020-10-06T00:00:00+02:00,11215,256
Saarland,2020-10-06T00:00:00+02:00,3449,177
Sachsen,2020-10-06T00:00:00+02:00,7533,239
Sachsen-Anhalt,2020-10-06T00:00:00+02:00,2764,68
Schleswig-Holstein,2020-10-06T00:00:00+02:00,4978,162
Thüringen,2020-10-06T00:00:00+02:00,4223,191
