Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-12-23T00:00:00+01:00,986887,12726
Bayern,09,2021-12-23T00:00:00+01:00,1298542,19291
Berlin,11,2021-12-23T00:00:00+01:00,317441,3986
Brandenburg,12,2021-12-23T00:00:00+01:00,231714,4547
Bremen,04,2021-12-23T00:00:00+01:00,45271,584
Hamburg,02,2021-12-23T00:00:00+01:00,131914,1963
Hessen,06,2021-12-23T00:00:00+01:00,465273,8467
Mecklenburg-Vorpommern,13,2021-12-23T00:00:00+01:00,95625,1439
Niedersachsen,03,2021-12-23T00:00:00+01:00,428122,6747
Nordrhein-Westfalen,05,2021-12-23T00:00:00+01:00,1339153,20024
Rheinland-Pfalz,07,2021-12-23T00:00:00+01:00,271174,4547
Saarland,10,2021-12-23T00:00:00+01:00,71879,1224
Sachsen,14,2021-12-23T00:00:00+01:00,633478,12488
Sachsen-Anhalt,15,2021-12-23T00:00:00+01:00,216688,4152
Schleswig-Holstein,01,2021-12-23T00:00:00+01:00,112179,1867
Thüringen,16,2021-12-23T00:00:00+01:00,278296,5697
