Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-09-09T00:00:00+02:00,44118,1867
Bayern,2020-09-09T00:00:00+02:00,60121,2644
Berlin,2020-09-09T00:00:00+02:00,11879,226
Brandenburg,2020-09-09T00:00:00+02:00,3959,169
Bremen,2020-09-09T00:00:00+02:00,2085,58
Hamburg,2020-09-09T00:00:00+02:00,6527,267
Hessen,2020-09-09T00:00:00+02:00,16375,536
Mecklenburg-Vorpommern,2020-09-09T00:00:00+02:00,1038,20
Niedersachsen,2020-09-09T00:00:00+02:00,17454,665
Nordrhein-Westfalen,2020-09-09T00:00:00+02:00,60878,1826
Rheinland-Pfalz,2020-09-09T00:00:00+02:00,9483,245
Saarland,2020-09-09T00:00:00+02:00,3208,175
Sachsen,2020-09-09T00:00:00+02:00,6191,225
Sachsen-Anhalt,2020-09-09T00:00:00+02:00,2290,66
Schleswig-Holstein,2020-09-09T00:00:00+02:00,4168,161
Thüringen,2020-09-09T00:00:00+02:00,3700,188
