Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-05-06T00:00:00+02:00,32576,1481
Bayern,2020-05-06T00:00:00+02:00,43371,2001
Berlin,2020-05-06T00:00:00+02:00,6092,159
Brandenburg,2020-05-06T00:00:00+02:00,2969,127
Bremen,2020-05-06T00:00:00+02:00,916,31
Hamburg*,2020-05-06T00:00:00+02:00,4664,190
Hessen,2020-05-06T00:00:00+02:00,8642,386
Mecklenburg-Vorpommern,2020-05-06T00:00:00+02:00,711,19
Niedersachsen,2020-05-06T00:00:00+02:00,10453,470
Nordrhein-Westfalen,2020-05-06T00:00:00+02:00,33977,1358
Rheinland-Pfalz,2020-05-06T00:00:00+02:00,6191,187
Saarland,2020-05-06T00:00:00+02:00,2627,141
Sachsen,2020-05-06T00:00:00+02:00,4784,177
Sachsen-Anhalt,2020-05-06T00:00:00+02:00,1590,46
Schleswig-Holstein,2020-05-06T00:00:00+02:00,2815,119
Thüringen,2020-05-06T00:00:00+02:00,2429,104
