Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-06-06T00:00:00+02:00,34898,1790
Bayern,2020-06-06T00:00:00+02:00,47326,2489
Berlin,2020-06-06T00:00:00+02:00,6964,201
Brandenburg,2020-06-06T00:00:00+02:00,3294,158
Bremen,2020-06-06T00:00:00+02:00,1513,44
Hamburg,2020-06-06T00:00:00+02:00,5111,254
Hessen,2020-06-06T00:00:00+02:00,10171,483
Mecklenburg-Vorpommern,2020-06-06T00:00:00+02:00,766,20
Niedersachsen,2020-06-06T00:00:00+02:00,12399,605
Nordrhein-Westfalen,2020-06-06T00:00:00+02:00,38524,1622
Rheinland-Pfalz,2020-06-06T00:00:00+02:00,6761,230
Saarland,2020-06-06T00:00:00+02:00,2740,166
Sachsen,2020-06-06T00:00:00+02:00,5321,212
Sachsen-Anhalt,2020-06-06T00:00:00+02:00,1717,55
Schleswig-Holstein,2020-06-06T00:00:00+02:00,3107,147
Thüringen,2020-06-06T00:00:00+02:00,3066,170
