Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2023-01-18T00:00:00+01:00,4992485,18772
Bayern,09,2023-01-18T00:00:00+01:00,6640057,27878
Berlin,11,2023-01-18T00:00:00+01:00,1413306,5380
Brandenburg,12,2023-01-18T00:00:00+01:00,1100795,6389
Bremen,04,2023-01-18T00:00:00+01:00,300214,948
Hamburg,02,2023-01-18T00:00:00+01:00,800876,3466
Hessen,06,2023-01-18T00:00:00+01:00,2873035,12058
Mecklenburg-Vorpommern,13,2023-01-18T00:00:00+01:00,704129,2715
Niedersachsen,03,2023-01-18T00:00:00+01:00,3794182,12808
Nordrhein-Westfalen,05,2023-01-18T00:00:00+01:00,7868675,30470
Rheinland-Pfalz,07,2023-01-18T00:00:00+01:00,1735044,6761
Saarland,10,2023-01-18T00:00:00+01:00,482722,2047
Sachsen,14,2023-01-18T00:00:00+01:00,1940198,16684
Sachsen-Anhalt,15,2023-01-18T00:00:00+01:00,951096,6197
Schleswig-Holstein,01,2023-01-18T00:00:00+01:00,1164289,3401
Thüringen,16,2023-01-18T00:00:00+01:00,876704,8179
