Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-12-08T00:00:00+01:00,4914890,18302
Bayern,09,2022-12-08T00:00:00+01:00,6557243,27204
Berlin,11,2022-12-08T00:00:00+01:00,1372334,5165
Brandenburg,12,2022-12-08T00:00:00+01:00,1068735,6212
Bremen,04,2022-12-08T00:00:00+01:00,288838,894
Hamburg,02,2022-12-08T00:00:00+01:00,782162,3271
Hessen,06,2022-12-08T00:00:00+01:00,2804038,11748
Mecklenburg-Vorpommern,13,2022-12-08T00:00:00+01:00,681220,2598
Niedersachsen,03,2022-12-08T00:00:00+01:00,3634023,11904
Nordrhein-Westfalen,05,2022-12-08T00:00:00+01:00,7590205,29220
Rheinland-Pfalz,07,2022-12-08T00:00:00+01:00,1692148,6583
Saarland,10,2022-12-08T00:00:00+01:00,471995,1983
Sachsen,14,2022-12-08T00:00:00+01:00,1907696,16420
Sachsen-Anhalt,15,2022-12-08T00:00:00+01:00,931456,6060
Schleswig-Holstein,01,2022-12-08T00:00:00+01:00,1127938,3183
Thüringen,16,2022-12-08T00:00:00+01:00,865314,7937
