Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-05-03T00:00:00+02:00,3503211,15786
Bayern,09,2022-05-03T00:00:00+02:00,4658661,23602
Berlin,11,2022-05-03T00:00:00+02:00,1003248,4489
Brandenburg,12,2022-05-03T00:00:00+02:00,764673,5563
Bremen,04,2022-05-03T00:00:00+02:00,187170,759
Hamburg,02,2022-05-03T00:00:00+02:00,548201,2535
Hessen,06,2022-05-03T00:00:00+02:00,1737439,9941
Mecklenburg-Vorpommern,13,2022-05-03T00:00:00+02:00,468993,2163
Niedersachsen,03,2022-05-03T00:00:00+02:00,2177790,8789
Nordrhein-Westfalen,05,2022-05-03T00:00:00+02:00,4976074,24795
Rheinland-Pfalz,07,2022-05-03T00:00:00+02:00,1081349,5525
Saarland,10,2022-05-03T00:00:00+02:00,301758,1640
Sachsen,14,2022-05-03T00:00:00+02:00,1469549,15296
Sachsen-Anhalt,15,2022-05-03T00:00:00+02:00,693601,5256
Schleswig-Holstein,01,2022-05-03T00:00:00+02:00,662693,2450
Thüringen,16,2022-05-03T00:00:00+02:00,692929,7112
