Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-06-01T00:00:00+02:00,34784,1752
Bayern,2020-06-01T00:00:00+02:00,47004,2451
Berlin,2020-06-01T00:00:00+02:00,6816,198
Brandenburg,2020-06-01T00:00:00+02:00,3273,155
Bremen,2020-06-01T00:00:00+02:00,1398,42
Hamburg,2020-06-01T00:00:00+02:00,5089,253
Hessen,2020-06-01T00:00:00+02:00,10047,480
Mecklenburg-Vorpommern,2020-06-01T00:00:00+02:00,761,20
Niedersachsen,2020-06-01T00:00:00+02:00,12043,593
Nordrhein-Westfalen,2020-06-01T00:00:00+02:00,38046,1598
Rheinland-Pfalz,2020-06-01T00:00:00+02:00,6703,230
Saarland,2020-06-01T00:00:00+02:00,2724,163
Sachsen,2020-06-01T00:00:00+02:00,5309,214
Sachsen-Anhalt,2020-06-01T00:00:00+02:00,1706,55
Schleswig-Holstein,2020-06-01T00:00:00+02:00,3097,145
Thüringen,2020-06-01T00:00:00+02:00,3015,162
