Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-08-18T00:00:00+02:00,38740,1859
Bayern,2020-08-18T00:00:00+02:00,53298,2631
Berlin,2020-08-18T00:00:00+02:00,10319,224
Brandenburg,2020-08-18T00:00:00+02:00,3708,169
Bremen,2020-08-18T00:00:00+02:00,1851,56
Hamburg,2020-08-18T00:00:00+02:00,5901,264
Hessen,2020-08-18T00:00:00+02:00,13675,528
Mecklenburg-Vorpommern,2020-08-18T00:00:00+02:00,975,20
Niedersachsen,2020-08-18T00:00:00+02:00,15482,656
Nordrhein-Westfalen,2020-08-18T00:00:00+02:00,55049,1780
Rheinland-Pfalz,2020-08-18T00:00:00+02:00,8224,242
Saarland,2020-08-18T00:00:00+02:00,3008,174
Sachsen,2020-08-18T00:00:00+02:00,5736,225
Sachsen-Anhalt,2020-08-18T00:00:00+02:00,2126,64
Schleswig-Holstein,2020-08-18T00:00:00+02:00,3807,158
Thüringen,2020-08-18T00:00:00+02:00,3505,186
