Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2020-10-30T00:00:00+01:00,77477,2010
Bayern,09,2020-10-30T00:00:00+01:00,102074,2797
Berlin,11,2020-10-30T00:00:00+01:00,30356,253
Brandenburg,12,2020-10-30T00:00:00+01:00,7468,190
Bremen,04,2020-10-30T00:00:00+01:00,5100,70
Hamburg,02,2020-10-30T00:00:00+01:00,12947,283
Hessen,06,2020-10-30T00:00:00+01:00,39093,641
Mecklenburg-Vorpommern,13,2020-10-30T00:00:00+01:00,2616,23
Niedersachsen,03,2020-10-30T00:00:00+01:00,34228,743
Nordrhein-Westfalen,05,2020-10-30T00:00:00+01:00,127447,2102
Rheinland-Pfalz,07,2020-10-30T00:00:00+01:00,19108,281
Saarland,10,2020-10-30T00:00:00+01:00,6142,186
Sachsen,14,2020-10-30T00:00:00+01:00,16493,315
Sachsen-Anhalt,15,2020-10-30T00:00:00+01:00,4804,77
Schleswig-Holstein,01,2020-10-30T00:00:00+01:00,7716,174
Thüringen,16,2020-10-30T00:00:00+01:00,6625,204
