Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-05-19T00:00:00+02:00,3629447,15997
Bayern,09,2022-05-19T00:00:00+02:00,4837887,23921
Berlin,11,2022-05-19T00:00:00+02:00,1035502,4574
Brandenburg,12,2022-05-19T00:00:00+02:00,784205,5635
Bremen,04,2022-05-19T00:00:00+02:00,197167,772
Hamburg,02,2022-05-19T00:00:00+02:00,573031,2632
Hessen,06,2022-05-19T00:00:00+02:00,1825961,10066
Mecklenburg-Vorpommern,13,2022-05-19T00:00:00+02:00,482168,2211
Niedersachsen,03,2022-05-19T00:00:00+02:00,2315958,9176
Nordrhein-Westfalen,05,2022-05-19T00:00:00+02:00,5190275,25214
Rheinland-Pfalz,07,2022-05-19T00:00:00+02:00,1132888,5631
Saarland,10,2022-05-19T00:00:00+02:00,312016,1669
Sachsen,14,2022-05-19T00:00:00+02:00,1499726,15474
Sachsen-Anhalt,15,2022-05-19T00:00:00+02:00,711707,5322
Schleswig-Holstein,01,2022-05-19T00:00:00+02:00,715391,2513
Thüringen,16,2022-05-19T00:00:00+02:00,705846,7246
