Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-05-04T00:00:00+02:00,32411,1421
Bayern,2020-05-04T00:00:00+02:00,42997,1926
Berlin,2020-05-04T00:00:00+02:00,6010,154
Brandenburg,2020-05-04T00:00:00+02:00,2914,122
Bremen,2020-05-04T00:00:00+02:00,893,30
Hamburg,2020-05-04T00:00:00+02:00,4636,166
Hessen,2020-05-04T00:00:00+02:00,8549,372
Mecklenburg-Vorpommern,2020-05-04T00:00:00+02:00,699,18
Niedersachsen,2020-05-04T00:00:00+02:00,10325,456
Nordrhein-Westfalen,2020-05-04T00:00:00+02:00,33560,1290
Rheinland-Pfalz,2020-05-04T00:00:00+02:00,6150,177
Saarland,2020-05-04T00:00:00+02:00,2608,139
Sachsen,2020-05-04T00:00:00+02:00,4702,167
Sachsen-Anhalt,2020-05-04T00:00:00+02:00,1578,45
Schleswig-Holstein,2020-05-04T00:00:00+02:00,2788,113
Thüringen,2020-05-04T00:00:00+02:00,2355,96
