Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-05-09T00:00:00+02:00,33105,1534
Bayern,2020-05-09T00:00:00+02:00,44169,2147
Berlin,2020-05-09T00:00:00+02:00,6242,164
Brandenburg,2020-05-09T00:00:00+02:00,3098,133
Bremen,2020-05-09T00:00:00+02:00,1024,32
Hamburg,2020-05-09T00:00:00+02:00,4772,204
Hessen,2020-05-09T00:00:00+02:00,8916,408
Mecklenburg-Vorpommern,2020-05-09T00:00:00+02:00,722,19
Niedersachsen,2020-05-09T00:00:00+02:00,10803,496
Nordrhein-Westfalen,2020-05-09T00:00:00+02:00,34817,1424
Rheinland-Pfalz,2020-05-09T00:00:00+02:00,6282,195
Saarland,2020-05-09T00:00:00+02:00,2660,142
Sachsen,2020-05-09T00:00:00+02:00,4873,186
Sachsen-Anhalt,2020-05-09T00:00:00+02:00,1637,48
Schleswig-Holstein,2020-05-09T00:00:00+02:00,2898,122
Thüringen,2020-05-09T00:00:00+02:00,2533,115
