Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-02-01T00:00:00+01:00,1374090,13669
Bayern,09,2022-02-01T00:00:00+01:00,1801541,20485
Berlin,11,2022-02-01T00:00:00+01:00,540491,4124
Brandenburg,12,2022-02-01T00:00:00+01:00,344197,5004
Bremen,04,2022-02-01T00:00:00+01:00,87607,651
Hamburg,02,2022-02-01T00:00:00+01:00,252929,2136
Hessen,06,2022-02-01T00:00:00+01:00,721358,8836
Mecklenburg-Vorpommern,13,2022-02-01T00:00:00+01:00,148278,1643
Niedersachsen,03,2022-02-01T00:00:00+01:00,658240,7098
Nordrhein-Westfalen,05,2022-02-01T00:00:00+01:00,2018344,21132
Rheinland-Pfalz,07,2022-02-01T00:00:00+01:00,385589,4808
Saarland,10,2022-02-01T00:00:00+01:00,104305,1331
Sachsen,14,2022-02-01T00:00:00+01:00,728208,14084
Sachsen-Anhalt,15,2022-02-01T00:00:00+01:00,269115,4597
Schleswig-Holstein,01,2022-02-01T00:00:00+01:00,222669,1975
Thüringen,16,2022-02-01T00:00:00+01:00,321185,6401
