Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-05-08T00:00:00+02:00,32898,1515
Bayern,2020-05-08T00:00:00+02:00,43905,2114
Berlin,2020-05-08T00:00:00+02:00,6209,163
Brandenburg,2020-05-08T00:00:00+02:00,3037,131
Bremen,2020-05-08T00:00:00+02:00,997,32
Hamburg,2020-05-08T00:00:00+02:00,4753,201
Hessen,2020-05-08T00:00:00+02:00,8850,403
Mecklenburg-Vorpommern,2020-05-08T00:00:00+02:00,718,19
Niedersachsen,2020-05-08T00:00:00+02:00,10686,493
Nordrhein-Westfalen,2020-05-08T00:00:00+02:00,34522,1397
Rheinland-Pfalz,2020-05-08T00:00:00+02:00,6241,192
Saarland,2020-05-08T00:00:00+02:00,2658,140
Sachsen,2020-05-08T00:00:00+02:00,4839,184
Sachsen-Anhalt,2020-05-08T00:00:00+02:00,1615,48
Schleswig-Holstein,2020-05-08T00:00:00+02:00,2860,122
Thüringen,2020-05-08T00:00:00+02:00,2512,112
