Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-01-06T00:00:00+01:00,1043571,13173
Bayern,09,2022-01-06T00:00:00+01:00,1355157,19878
Berlin,11,2022-01-06T00:00:00+01:00,344637,4029
Brandenburg,12,2022-01-06T00:00:00+01:00,252996,4761
Bremen,04,2022-01-06T00:00:00+01:00,52014,612
Hamburg,02,2022-01-06T00:00:00+01:00,147773,2015
Hessen,06,2022-01-06T00:00:00+01:00,495700,8601
Mecklenburg-Vorpommern,13,2022-01-06T00:00:00+01:00,105445,1500
Niedersachsen,03,2022-01-06T00:00:00+01:00,458369,6876
Nordrhein-Westfalen,05,2022-01-06T00:00:00+01:00,1422820,20502
Rheinland-Pfalz,07,2022-01-06T00:00:00+01:00,287059,4676
Saarland,10,2022-01-06T00:00:00+01:00,76365,1257
Sachsen,14,2022-01-06T00:00:00+01:00,663823,13221
Sachsen-Anhalt,15,2022-01-06T00:00:00+01:00,230371,4370
Schleswig-Holstein,01,2022-01-06T00:00:00+01:00,129397,1894
Thüringen,16,2022-01-06T00:00:00+01:00,296163,6003
