Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-05-17T00:00:00+02:00,33950,1648
Bayern,2020-05-17T00:00:00+02:00,45427,2283
Berlin,2020-05-17T00:00:00+02:00,6447,182
Brandenburg,2020-05-17T00:00:00+02:00,3171,149
Bremen,2020-05-17T00:00:00+02:00,1164,37
Hamburg,2020-05-17T00:00:00+02:00,5029,232
Hessen,2020-05-17T00:00:00+02:00,9317,435
Mecklenburg-Vorpommern,2020-05-17T00:00:00+02:00,748,20
Niedersachsen,2020-05-17T00:00:00+02:00,11155,544
Nordrhein-Westfalen,2020-05-17T00:00:00+02:00,36286,1505
Rheinland-Pfalz,2020-05-17T00:00:00+02:00,6449,216
Saarland,2020-05-17T00:00:00+02:00,2696,149
Sachsen,2020-05-17T00:00:00+02:00,5115,196
Sachsen-Anhalt,2020-05-17T00:00:00+02:00,1676,54
Schleswig-Holstein,2020-05-17T00:00:00+02:00,3000,126
Thüringen,2020-05-17T00:00:00+02:00,2725,138
