Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-05-16T00:00:00+02:00,33893,1644
Bayern,2020-05-16T00:00:00+02:00,45340,2273
Berlin,2020-05-16T00:00:00+02:00,6428,181
Brandenburg,2020-05-16T00:00:00+02:00,3169,149
Bremen,2020-05-16T00:00:00+02:00,1150,37
Hamburg,2020-05-16T00:00:00+02:00,5017,231
Hessen,2020-05-16T00:00:00+02:00,9261,432
Mecklenburg-Vorpommern,2020-05-16T00:00:00+02:00,746,20
Niedersachsen,2020-05-16T00:00:00+02:00,11092,535
Nordrhein-Westfalen,2020-05-16T00:00:00+02:00,36065,1500
Rheinland-Pfalz,2020-05-16T00:00:00+02:00,6449,216
Saarland,2020-05-16T00:00:00+02:00,2688,149
Sachsen,2020-05-16T00:00:00+02:00,5089,197
Sachsen-Anhalt,2020-05-16T00:00:00+02:00,1676,54
Schleswig-Holstein,2020-05-16T00:00:00+02:00,2998,126
Thüringen,2020-05-16T00:00:00+02:00,2711,137
