Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-07-05T00:00:00+02:00,35807,1837
Bayern,2020-07-05T00:00:00+02:00,48665,2600
Berlin,2020-07-05T00:00:00+02:00,8434,215
Brandenburg,2020-07-05T00:00:00+02:00,3460,167
Bremen,2020-07-05T00:00:00+02:00,1678,53
Hamburg,2020-07-05T00:00:00+02:00,5220,261
Hessen,2020-07-05T00:00:00+02:00,10939,512
Mecklenburg-Vorpommern,2020-07-05T00:00:00+02:00,804,20
Niedersachsen,2020-07-05T00:00:00+02:00,13664,635
Nordrhein-Westfalen,2020-07-05T00:00:00+02:00,43990,1687
Rheinland-Pfalz,2020-07-05T00:00:00+02:00,7080,235
Saarland,2020-07-05T00:00:00+02:00,2805,174
Sachsen,2020-07-05T00:00:00+02:00,5458,224
Sachsen-Anhalt,2020-07-05T00:00:00+02:00,1880,59
Schleswig-Holstein,2020-07-05T00:00:00+02:00,3181,152
Thüringen,2020-07-05T00:00:00+02:00,3270,181
