Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-07-10T00:00:00+02:00,35990,1837
Bayern,2020-07-10T00:00:00+02:00,49086,2610
Berlin,2020-07-10T00:00:00+02:00,8586,216
Brandenburg,2020-07-10T00:00:00+02:00,3452,168
Bremen,2020-07-10T00:00:00+02:00,1688,54
Hamburg,2020-07-10T00:00:00+02:00,5231,261
Hessen,2020-07-10T00:00:00+02:00,11104,514
Mecklenburg-Vorpommern,2020-07-10T00:00:00+02:00,803,20
Niedersachsen,2020-07-10T00:00:00+02:00,13791,641
Nordrhein-Westfalen,2020-07-10T00:00:00+02:00,44645,1701
Rheinland-Pfalz,2020-07-10T00:00:00+02:00,7126,236
Saarland,2020-07-10T00:00:00+02:00,2812,174
Sachsen,2020-07-10T00:00:00+02:00,5469,225
Sachsen-Anhalt,2020-07-10T00:00:00+02:00,1905,61
Schleswig-Holstein,2020-07-10T00:00:00+02:00,3202,154
Thüringen,2020-07-10T00:00:00+02:00,3288,182
