Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-06-17T00:00:00+02:00,35177,1811
Bayern,2020-06-17T00:00:00+02:00,47710,2546
Berlin,2020-06-17T00:00:00+02:00,7402,209
Brandenburg,2020-06-17T00:00:00+02:00,3362,163
Bremen,2020-06-17T00:00:00+02:00,1607,49
Hamburg,2020-06-17T00:00:00+02:00,5149,257
Hessen,2020-06-17T00:00:00+02:00,10386,496
Mecklenburg-Vorpommern,2020-06-17T00:00:00+02:00,786,20
Niedersachsen,2020-06-17T00:00:00+02:00,12968,615
Nordrhein-Westfalen,2020-06-17T00:00:00+02:00,39573,1655
Rheinland-Pfalz,2020-06-17T00:00:00+02:00,6856,233
Saarland,2020-06-17T00:00:00+02:00,2773,168
Sachsen,2020-06-17T00:00:00+02:00,5350,221
Sachsen-Anhalt,2020-06-17T00:00:00+02:00,1775,57
Schleswig-Holstein,2020-06-17T00:00:00+02:00,3122,152
Thüringen,2020-06-17T00:00:00+02:00,3188,178
