Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-04-04T00:00:00+02:00,17014,316
Bayern,2020-04-04T00:00:00+02:00,21908,349
Berlin,2020-04-04T00:00:00+02:00,3471,22
Brandenburg,2020-04-04T00:00:00+02:00,1211,12
Bremen,2020-04-04T00:00:00+02:00,354,6
Hamburg,2020-04-04T00:00:00+02:00,2697,16
Hessen,2020-04-04T00:00:00+02:00,4279,42
Mecklenburg-Vorpommern,2020-04-04T00:00:00+02:00,501,5
Niedersachsen,2020-04-04T00:00:00+02:00,5571,85
Nordrhein-Westfalen,2020-04-04T00:00:00+02:00,17885,200
Rheinland-Pfalz,2020-04-04T00:00:00+02:00,3504,29
Saarland,2020-04-04T00:00:00+02:00,1265,14
Sachsen,2020-04-04T00:00:00+02:00,2591,24
Sachsen-Anhalt,2020-04-04T00:00:00+02:00,896,11
Schleswig-Holstein,2020-04-04T00:00:00+02:00,1559,17
Thüringen,2020-04-04T00:00:00+02:00,1072,10
