Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2023-02-09T00:00:00+01:00,5018180,19048
Bayern,09,2023-02-09T00:00:00+01:00,6682156,28189
Berlin,11,2023-02-09T00:00:00+01:00,1420524,5472
Brandenburg,12,2023-02-09T00:00:00+01:00,1105664,6450
Bremen,04,2023-02-09T00:00:00+01:00,301438,957
Hamburg,02,2023-02-09T00:00:00+01:00,803413,3558
Hessen,06,2023-02-09T00:00:00+01:00,2893638,12224
Mecklenburg-Vorpommern,13,2023-02-09T00:00:00+01:00,707863,2740
Niedersachsen,03,2023-02-09T00:00:00+01:00,3827067,13314
Nordrhein-Westfalen,05,2023-02-09T00:00:00+01:00,7937912,30939
Rheinland-Pfalz,07,2023-02-09T00:00:00+01:00,1746360,6851
Saarland,10,2023-02-09T00:00:00+01:00,485735,2096
Sachsen,14,2023-02-09T00:00:00+01:00,1946587,16754
Sachsen-Anhalt,15,2023-02-09T00:00:00+01:00,955188,6244
Schleswig-Holstein,01,2023-02-09T00:00:00+01:00,1168755,3448
Thüringen,16,2023-02-09T00:00:00+01:00,879234,8242
