Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-09-08T00:00:00+02:00,43861,1867
Bayern,2020-09-08T00:00:00+02:00,59804,2643
Berlin,2020-09-08T00:00:00+02:00,11792,226
Brandenburg,2020-09-08T00:00:00+02:00,3943,169
Bremen,2020-09-08T00:00:00+02:00,2073,58
Hamburg,2020-09-08T00:00:00+02:00,6527,267
Hessen,2020-09-08T00:00:00+02:00,16278,535
Mecklenburg-Vorpommern,2020-09-08T00:00:00+02:00,1034,20
Niedersachsen,2020-09-08T00:00:00+02:00,17372,665
Nordrhein-Westfalen,2020-09-08T00:00:00+02:00,60695,1823
Rheinland-Pfalz,2020-09-08T00:00:00+02:00,9434,243
Saarland,2020-09-08T00:00:00+02:00,3199,174
Sachsen,2020-09-08T00:00:00+02:00,6155,225
Sachsen-Anhalt,2020-09-08T00:00:00+02:00,2287,66
Schleswig-Holstein,2020-09-08T00:00:00+02:00,4150,161
Thüringen,2020-09-08T00:00:00+02:00,3694,187
