Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-04-27T00:00:00+02:00,31043,1249
Bayern,2020-04-27T00:00:00+02:00,41070,1621
Berlin,2020-04-27T00:00:00+02:00,5638,125
Brandenburg,2020-04-27T00:00:00+02:00,2721,100
Bremen,2020-04-27T00:00:00+02:00,754,27
Hamburg,2020-04-27T00:00:00+02:00,4475,142
Hessen,2020-04-27T00:00:00+02:00,7979,320
Mecklenburg-Vorpommern,2020-04-27T00:00:00+02:00,674,16
Niedersachsen,2020-04-27T00:00:00+02:00,9847,391
Nordrhein-Westfalen,2020-04-27T00:00:00+02:00,31879,1131
Rheinland-Pfalz,2020-04-27T00:00:00+02:00,5879,152
Saarland,2020-04-27T00:00:00+02:00,2503,121
Sachsen,2020-04-27T00:00:00+02:00,4458,147
Sachsen-Anhalt,2020-04-27T00:00:00+02:00,1515,36
Schleswig-Holstein,2020-04-27T00:00:00+02:00,2638,98
Thüringen,2020-04-27T00:00:00+02:00,2120,74
