Bundesland,Timestamp,Confirmed,Deaths,EConfirmed,EDeaths
Baden-Württemberg,2020-03-10T15:00:00+01:00,237,0,92,0
Bayern,2020-03-10T15:00:00+01:00,314,0,136,0
Berlin,2020-03-10T15:00:00+01:00,48,0,31,0
Brandenburg,2020-03-10T15:00:00+01:00,9,0,3,0
Bremen,2020-03-10T15:00:00+01:00,4,0,4,0
Hamburg,2020-03-10T15:00:00+01:00,29,0,4,0
Hessen,2020-03-10T15:00:00+01:00,35,0,18,0
Mecklenburg-Vorpommern,2020-03-10T15:00:00+01:00,13,0,5,0
Niedersachsen,2020-03-10T15:00:00+01:00,49,0,24,0
Nordrhein-Westfalen,2020-03-10T15:00:00+01:00,484,0,303,0
Rheinland-Pfalz,2020-03-10T15:00:00+01:00,25,0,18,0
Saarland,2020-03-10T15:00:00+01:00,7,0,2,0
Sachsen,2020-03-10T15:00:00+01:00,22,0,5,0
Sachsen-Anhalt,2020-03-10T15:00:00+01:00,7,0,0,0
Schleswig-Holstein,2020-03-10T15:00:00+01:00,9,0,8,0
Thüringen,2020-03-10T15:00:00+01:00,4,0,1,0
