Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-09-27T00:00:00+02:00,48467,1877
Bayern,2020-09-27T00:00:00+02:00,67255,2659
Berlin,2020-09-27T00:00:00+02:00,14113,228
Brandenburg,2020-09-27T00:00:00+02:00,4214,169
Bremen,2020-09-27T00:00:00+02:00,2366,59
Hamburg,2020-09-27T00:00:00+02:00,7638,269
Hessen,2020-09-27T00:00:00+02:00,18607,550
Mecklenburg-Vorpommern,2020-09-27T00:00:00+02:00,1151,20
Niedersachsen,2020-09-27T00:00:00+02:00,19772,683
Nordrhein-Westfalen,2020-09-27T00:00:00+02:00,68395,1864
Rheinland-Pfalz,2020-09-27T00:00:00+02:00,10483,252
Saarland,2020-09-27T00:00:00+02:00,3295,176
Sachsen,2020-09-27T00:00:00+02:00,7095,233
Sachsen-Anhalt,2020-09-27T00:00:00+02:00,2569,67
Schleswig-Holstein,2020-09-27T00:00:00+02:00,4671,161
Thüringen,2020-09-27T00:00:00+02:00,4049,190
