Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-08-12T00:00:00+02:00,37975,1859
Bayern,2020-08-12T00:00:00+02:00,52182,2627
Berlin,2020-08-12T00:00:00+02:00,9851,224
Brandenburg,2020-08-12T00:00:00+02:00,3642,169
Bremen,2020-08-12T00:00:00+02:00,1819,56
Hamburg,2020-08-12T00:00:00+02:00,5748,262
Hessen,2020-08-12T00:00:00+02:00,12876,526
Mecklenburg-Vorpommern,2020-08-12T00:00:00+02:00,952,20
Niedersachsen,2020-08-12T00:00:00+02:00,15122,655
Nordrhein-Westfalen,2020-08-12T00:00:00+02:00,52588,1765
Rheinland-Pfalz,2020-08-12T00:00:00+02:00,7935,239
Saarland,2020-08-12T00:00:00+02:00,2952,174
Sachsen,2020-08-12T00:00:00+02:00,5673,225
Sachsen-Anhalt,2020-08-12T00:00:00+02:00,2076,64
Schleswig-Holstein,2020-08-12T00:00:00+02:00,3675,158
Thüringen,2020-08-12T00:00:00+02:00,3453,184
