Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-10-27T00:00:00+02:00,4795746,17667
Bayern,09,2022-10-27T00:00:00+02:00,6435973,26401
Berlin,11,2022-10-27T00:00:00+02:00,1324972,4915
Brandenburg,12,2022-10-27T00:00:00+02:00,1022436,6028
Bremen,04,2022-10-27T00:00:00+02:00,275682,861
Hamburg,02,2022-10-27T00:00:00+02:00,755581,3125
Hessen,06,2022-10-27T00:00:00+02:00,2716685,11348
Mecklenburg-Vorpommern,13,2022-10-27T00:00:00+02:00,648409,2518
Niedersachsen,03,2022-10-27T00:00:00+02:00,3448635,11178
Nordrhein-Westfalen,05,2022-10-27T00:00:00+02:00,7251955,28078
Rheinland-Pfalz,07,2022-10-27T00:00:00+02:00,1641693,6349
Saarland,10,2022-10-27T00:00:00+02:00,457976,1918
Sachsen,14,2022-10-27T00:00:00+02:00,1859702,16183
Sachsen-Anhalt,15,2022-10-27T00:00:00+02:00,899306,5837
Schleswig-Holstein,01,2022-10-27T00:00:00+02:00,1080991,3004
Thüringen,16,2022-10-27T00:00:00+02:00,846178,7783
