Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-06-15T00:00:00+02:00,35090,1805
Bayern,2020-06-15T00:00:00+02:00,47642,2541
Berlin,2020-06-15T00:00:00+02:00,7322,208
Brandenburg,2020-06-15T00:00:00+02:00,3329,163
Bremen,2020-06-15T00:00:00+02:00,1592,48
Hamburg,2020-06-15T00:00:00+02:00,5144,255
Hessen,2020-06-15T00:00:00+02:00,10324,491
Mecklenburg-Vorpommern,2020-06-15T00:00:00+02:00,782,20
Niedersachsen,2020-06-15T00:00:00+02:00,12909,614
Nordrhein-Westfalen,2020-06-15T00:00:00+02:00,39307,1646
Rheinland-Pfalz,2020-06-15T00:00:00+02:00,6841,231
Saarland,2020-06-15T00:00:00+02:00,2772,168
Sachsen,2020-06-15T00:00:00+02:00,5347,219
Sachsen-Anhalt,2020-06-15T00:00:00+02:00,1768,57
Schleswig-Holstein,2020-06-15T00:00:00+02:00,3121,151
Thüringen,2020-06-15T00:00:00+02:00,3171,174
