Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-01-07T00:00:00+01:00,250675,5207
Bayern,09,2021-01-07T00:00:00+01:00,342280,7424
Berlin,11,2021-01-07T00:00:00+01:00,102070,1445
Brandenburg,12,2021-01-07T00:00:00+01:00,45720,1143
Bremen,04,2021-01-07T00:00:00+01:00,14069,209
Hamburg,02,2021-01-07T00:00:00+01:00,39154,725
Hessen,06,2021-01-07T00:00:00+01:00,145009,3278
Mecklenburg-Vorpommern,13,2021-01-07T00:00:00+01:00,13701,215
Niedersachsen,03,2021-01-07T00:00:00+01:00,114282,2206
Nordrhein-Westfalen,05,2021-01-07T00:00:00+01:00,415041,7507
Rheinland-Pfalz,07,2021-01-07T00:00:00+01:00,76991,1632
Saarland,10,2021-01-07T00:00:00+01:00,20805,483
Sachsen,14,2021-01-07T00:00:00+01:00,146658,3626
Sachsen-Anhalt,15,2021-01-07T00:00:00+01:00,33929,777
Schleswig-Holstein,01,2021-01-07T00:00:00+01:00,27078,514
Thüringen,16,2021-01-07T00:00:00+01:00,47576,1216
