Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2020-11-27T00:00:00+01:00,142878,2626
Bayern,09,2020-11-27T00:00:00+01:00,197988,3699
Berlin,11,2020-11-27T00:00:00+01:00,61664,527
Brandenburg,12,2020-11-27T00:00:00+01:00,17646,316
Bremen,04,2020-11-27T00:00:00+01:00,9640,114
Hamburg,02,2020-11-27T00:00:00+01:00,24051,358
Hessen,06,2020-11-27T00:00:00+01:00,83251,1199
Mecklenburg-Vorpommern,13,2020-11-27T00:00:00+01:00,5695,58
Niedersachsen,03,2020-11-27T00:00:00+01:00,68217,1104
Nordrhein-Westfalen,05,2020-11-27T00:00:00+01:00,250884,3306
Rheinland-Pfalz,07,2020-11-27T00:00:00+01:00,41682,491
Saarland,10,2020-11-27T00:00:00+01:00,12041,249
Sachsen,14,2020-11-27T00:00:00+01:00,49855,800
Sachsen-Anhalt,15,2020-11-27T00:00:00+01:00,11289,154
Schleswig-Holstein,01,2020-11-27T00:00:00+01:00,13790,245
Thüringen,16,2020-11-27T00:00:00+01:00,15823,340
