Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-02-19T00:00:00+01:00,309004,7895
Bayern,09,2021-02-19T00:00:00+01:00,425826,12042
Berlin,11,2021-02-19T00:00:00+01:00,126201,2702
Brandenburg,12,2021-02-19T00:00:00+01:00,74358,2893
Bremen,04,2021-02-19T00:00:00+01:00,17170,317
Hamburg,02,2021-02-19T00:00:00+01:00,49747,1210
Hessen,06,2021-02-19T00:00:00+01:00,183111,5633
Mecklenburg-Vorpommern,13,2021-02-19T00:00:00+01:00,23020,680
Niedersachsen,03,2021-02-19T00:00:00+01:00,156578,4009
Nordrhein-Westfalen,05,2021-02-19T00:00:00+01:00,517037,12520
Rheinland-Pfalz,07,2021-02-19T00:00:00+01:00,99205,2962
Saarland,10,2021-02-19T00:00:00+01:00,27938,840
Sachsen,14,2021-02-19T00:00:00+01:00,189534,7351
Sachsen-Anhalt,15,2021-02-19T00:00:00+01:00,57805,2253
Schleswig-Holstein,01,2021-02-19T00:00:00+01:00,40537,1197
Thüringen,16,2021-02-19T00:00:00+01:00,72648,2702
