Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-12-28T00:00:00+01:00,4961488,18525
Bayern,09,2022-12-28T00:00:00+01:00,6603197,27482
Berlin,11,2022-12-28T00:00:00+01:00,1398759,5243
Brandenburg,12,2022-12-28T00:00:00+01:00,1090266,6291
Bremen,04,2022-12-28T00:00:00+01:00,296325,917
Hamburg,02,2022-12-28T00:00:00+01:00,794242,3358
Hessen,06,2022-12-28T00:00:00+01:00,2843692,11868
Mecklenburg-Vorpommern,13,2022-12-28T00:00:00+01:00,696315,2643
Niedersachsen,03,2022-12-28T00:00:00+01:00,3735470,12252
Nordrhein-Westfalen,05,2022-12-28T00:00:00+01:00,7759544,29770
Rheinland-Pfalz,07,2022-12-28T00:00:00+01:00,1717047,6630
Saarland,10,2022-12-28T00:00:00+01:00,478099,2010
Sachsen,14,2022-12-28T00:00:00+01:00,1929248,16525
Sachsen-Anhalt,15,2022-12-28T00:00:00+01:00,944143,6107
Schleswig-Holstein,01,2022-12-28T00:00:00+01:00,1152433,3289
Thüringen,16,2022-12-28T00:00:00+01:00,872162,8062
