Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-01-29T00:00:00+01:00,1327264,13641
Bayern,09,2022-01-29T00:00:00+01:00,1732361,20429
Berlin,11,2022-01-29T00:00:00+01:00,524563,4107
Brandenburg,12,2022-01-29T00:00:00+01:00,333035,5000
Bremen,04,2022-01-29T00:00:00+01:00,84864,648
Hamburg,02,2022-01-29T00:00:00+01:00,241344,2110
Hessen,06,2022-01-29T00:00:00+01:00,687993,8793
Mecklenburg-Vorpommern,13,2022-01-29T00:00:00+01:00,143523,1631
Niedersachsen,03,2022-01-29T00:00:00+01:00,631762,7086
Nordrhein-Westfalen,05,2022-01-29T00:00:00+01:00,1919968,21078
Rheinland-Pfalz,07,2022-01-29T00:00:00+01:00,374770,4801
Saarland,10,2022-01-29T00:00:00+01:00,100435,1326
Sachsen,14,2022-01-29T00:00:00+01:00,719969,14069
Sachsen-Anhalt,15,2022-01-29T00:00:00+01:00,263311,4590
Schleswig-Holstein,01,2022-01-29T00:00:00+01:00,214911,1963
Thüringen,16,2022-01-29T00:00:00+01:00,318172,6394
