Area,Bundesland,AGS,Timestamp,Confirmed,Deaths
Alb-Donau-Kreis,Baden-Württemberg,08425000,2022-06-02T00:00:00+02:00,69061,241
Baden-Baden (Stadtkreis),Baden-Württemberg,08211000,2022-06-02T00:00:00+02:00,16607,104
Biberach,Baden-Württemberg,08426000,2022-06-02T00:00:00+02:00,74943,285
Bodenseekreis,Baden-Württemberg,08435000,2022-06-02T00:00:00+02:00,71577,337
Breisgau-Hochschwarzwald,Baden-Württemberg,08315000,2022-06-02T00:00:00+02:00,83034,328
Böblingen,Baden-Württemberg,08115000,2022-06-02T00:00:00+02:00,129879,469
Calw,Baden-Württemberg,08235000,2022-06-02T00:00:00+02:00,53184,284
Emmendingen,Baden-Württemberg,08316000,2022-06-02T00:00:00+02:00,55540,241
Enzkreis,Baden-Württemberg,08236000,2022-06-02T00:00:00+02:00,66477,340
Esslingen,Baden-Württemberg,08116000,2022-06-02T00:00:00+02:00,174379,808
Freiburg im Breisgau (Stadtkreis),Baden-Württemberg,08311000,2022-06-02T00:00:00+02:00,76438,261
Freudenstadt,Baden-Württemberg,08237000,2022-06-02T00:00:00+02:00,41565,243
Göppingen,Baden-Württemberg,08117000,2022-06-02T00:00:00+02:00,84303,391
Heidelberg (Stadtkreis),Baden-Württemberg,08221000,2022-06-02T00:00:00+02:00,42900,122
Heidenheim,Baden-Württemberg,08135000,2022-06-02T00:00:00+02:00,47408,300
Heilbronn (Stadtkreis),Baden-Württemberg,08121000,2022-06-02T00:00:00+02:00,46139,273
Heilbronn (Landkreis),Baden-Württemberg,08125000,2022-06-02T00:00:00+02:00,121306,340
Hohenlohekreis,Baden-Württemberg,08126000,2022-06-02T00:00:00+02:00,39554,179
Karlsruhe (Stadtkreis),Baden-Württemberg,08212000,2022-06-02T00:00:00+02:00,91300,357
Karlsruhe (Landkreis),Baden-Württemberg,08215000,2022-06-02T00:00:00+02:00,145831,702
Konstanz,Baden-Württemberg,08335000,2022-06-02T00:00:00+02:00,92433,431
Ludwigsburg,Baden-Württemberg,08118000,2022-06-02T00:00:00+02:00,168426,714
Lörrach,Baden-Württemberg,08336000,2022-06-02T00:00:00+02:00,69863,418
Main-Tauber-Kreis,Baden-Württemberg,08128000,2022-06-02T00:00:00+02:00,44168,200
Mannheim (Stadtkreis),Baden-Württemberg,08222000,2022-06-02T00:00:00+02:00,100660,484
Neckar-Odenwald-Kreis,Baden-Württemberg,08225000,2022-06-02T00:00:00+02:00,50189,215
Ortenaukreis,Baden-Württemberg,08317000,2022-06-02T00:00:00+02:00,157348,812
Ostalbkreis,Baden-Württemberg,08136000,2022-06-02T00:00:00+02:00,110543,576
Pforzheim (Stadtkreis),Baden-Württemberg,08231000,2022-06-02T00:00:00+02:00,44702,327
Rastatt,Baden-Württemberg,08216000,2022-06-02T00:00:00+02:00,78459,369
Ravensburg,Baden-Württemberg,08436000,2022-06-02T00:00:00+02:00,101073,224
Rems-Murr-Kreis,Baden-Württemberg,08119000,2022-06-02T00:00:00+02:00,141031,601
Reutlingen,Baden-Württemberg,08415000,2022-06-02T00:00:00+02:00,97385,447
Rhein-Neckar-Kreis,Baden-Württemberg,08226000,2022-06-02T00:00:00+02:00,170630,689
Rottweil,Baden-Württemberg,08325000,2022-06-02T00:00:00+02:00,52418,280
Schwarzwald-Baar-Kreis,Baden-Württemberg,08326000,2022-06-02T00:00:00+02:00,75861,362
Schwäbisch Hall,Baden-Württemberg,08127000,2022-06-02T00:00:00+02:00,66734,337
Sigmaringen,Baden-Württemberg,08437000,2022-06-02T00:00:00+02:00,50588,172
Stuttgart,Baden-Württemberg,08111000,2022-06-02T00:00:00+02:00,188627,683
Tuttlingen,Baden-Württemberg,08327000,2022-06-02T00:00:00+02:00,51316,255
Tübingen,Baden-Württemberg,08416000,2022-06-02T00:00:00+02:00,73603,248
Ulm (Stadtkreis),Baden-Württemberg,08421000,2022-06-02T00:00:00+02:00,43242,117
Waldshut,Baden-Württemberg,08337000,2022-06-02T00:00:00+02:00,53725,320
Zollernalbkreis,Baden-Württemberg,08417000,2022-06-02T00:00:00+02:00,66059,244
Aichach-Friedberg,Bayern,09771000,2022-06-02T00:00:00+02:00,50416,161
Altötting,Bayern,09171000,2022-06-02T00:00:00+02:00,45798,332
Amberg,Bayern,09361000,2022-06-02T00:00:00+02:00,13733,62
Amberg-Sulzbach,Bayern,09371000,2022-06-02T00:00:00+02:00,34839,224
Ansbach (Stadt),Bayern,09561000,2022-06-02T00:00:00+02:00,15403,63
Ansbach (Landkreis),Bayern,09571000,2022-06-02T00:00:00+02:00,69929,261
Aschaffenburg (Stadt),Bayern,09661000,2022-06-02T00:00:00+02:00,24371,169
Aschaffenburg (Landkreis),Bayern,09671000,2022-06-02T00:00:00+02:00,58625,293
Augsburg (Stadt),Bayern,09761000,2022-06-02T00:00:00+02:00,109710,654
Augsburg (Landkreis),Bayern,09772000,2022-06-02T00:00:00+02:00,93214,419
Bad Kissingen,Bayern,09672000,2022-06-02T00:00:00+02:00,38360,198
Bad Tölz-Wolfratshausen,Bayern,09173000,2022-06-02T00:00:00+02:00,48055,178
Bamberg (Stadt),Bayern,09461000,2022-06-02T00:00:00+02:00,24588,154
Bamberg (Landkreis),Bayern,09471000,2022-06-02T00:00:00+02:00,58762,265
Bayreuth (Stadt),Bayern,09462000,2022-06-02T00:00:00+02:00,26054,175
Bayreuth (Landkreis),Bayern,09472000,2022-06-02T00:00:00+02:00,37539,219
Berchtesgadener Land,Bayern,09172000,2022-06-02T00:00:00+02:00,43378,186
Cham,Bayern,09372000,2022-06-02T00:00:00+02:00,50579,271
Coburg (Stadt),Bayern,09463000,2022-06-02T00:00:00+02:00,14868,121
Coburg (Landkreis),Bayern,09473000,2022-06-02T00:00:00+02:00,31999,206
Dachau,Bayern,09174000,2022-06-02T00:00:00+02:00,61043,239
Deggendorf,Bayern,09271000,2022-06-02T00:00:00+02:00,47546,285
Dillingen a.d. Donau,Bayern,09773000,2022-06-02T00:00:00+02:00,38942,214
Dingolfing-Landau,Bayern,09279000,2022-06-02T00:00:00+02:00,40013,231
Donau-Ries,Bayern,09779000,2022-06-02T00:00:00+02:00,53074,249
Ebersberg,Bayern,09175000,2022-06-02T00:00:00+02:00,54835,284
Eichstätt,Bayern,09176000,2022-06-02T00:00:00+02:00,49722,140
Erding,Bayern,09177000,2022-06-02T00:00:00+02:00,57035,189
Erlangen,Bayern,09562000,2022-06-02T00:00:00+02:00,32423,133
Erlangen-Höchstadt,Bayern,09572000,2022-06-02T00:00:00+02:00,49467,182
Forchheim,Bayern,09474000,2022-06-02T00:00:00+02:00,43395,192
Freising,Bayern,09178000,2022-06-02T00:00:00+02:00,66587,221
Freyung-Grafenau,Bayern,09272000,2022-06-02T00:00:00+02:00,33193,222
Fürstenfeldbruck,Bayern,09179000,2022-06-02T00:00:00+02:00,76807,227
Fürth (Stadt),Bayern,09563000,2022-06-02T00:00:00+02:00,46646,308
Fürth (Landkreis),Bayern,09573000,2022-06-02T00:00:00+02:00,41646,282
Garmisch-Partenkirchen,Bayern,09180000,2022-06-02T00:00:00+02:00,30406,149
Günzburg,Bayern,09774000,2022-06-02T00:00:00+02:00,49119,206
Haßberge,Bayern,09674000,2022-06-02T00:00:00+02:00,34361,150
Hof (Stadt),Bayern,09464000,2022-06-02T00:00:00+02:00,17409,168
Hof (Landkreis),Bayern,09475000,2022-06-02T00:00:00+02:00,34554,257
Ingolstadt,Bayern,09161000,2022-06-02T00:00:00+02:00,50593,244
Kaufbeuren,Bayern,09762000,2022-06-02T00:00:00+02:00,15967,113
Kelheim,Bayern,09273000,2022-06-02T00:00:00+02:00,47657,159
Kempten (Allgäu),Bayern,09763000,2022-06-02T00:00:00+02:00,26072,98
Kitzingen,Bayern,09675000,2022-06-02T00:00:00+02:00,32706,143
Kronach,Bayern,09476000,2022-06-02T00:00:00+02:00,26315,171
Kulmbach,Bayern,09477000,2022-06-02T00:00:00+02:00,26323,161
Landsberg am Lech,Bayern,09181000,2022-06-02T00:00:00+02:00,42813,122
Landshut (Stadt),Bayern,09261000,2022-06-02T00:00:00+02:00,26740,176
Landshut (Landkreis),Bayern,09274000,2022-06-02T00:00:00+02:00,64035,305
Lichtenfels,Bayern,09478000,2022-06-02T00:00:00+02:00,26752,167
Lindau (Bodensee),Bayern,09776000,2022-06-02T00:00:00+02:00,29516,106
Main-Spessart,Bayern,09677000,2022-06-02T00:00:00+02:00,40478,250
Memmingen,Bayern,09764000,2022-06-02T00:00:00+02:00,16650,37
Miesbach,Bayern,09182000,2022-06-02T00:00:00+02:00,39008,186
Miltenberg,Bayern,09676000,2022-06-02T00:00:00+02:00,47636,213
