Bundesland,Timestamp,Confirmed,Deaths,EConfirmed,EDeaths
Baden-Württemberg,2020-03-15T15:00:00+01:00,827,3,524,2
Bayern,2020-03-15T15:00:00+01:00,886,4,804,1
Berlin,2020-03-15T15:00:00+01:00,265,0,265,0
Brandenburg,2020-03-15T15:00:00+01:00,84,0,56,0
Bremen,2020-03-15T15:00:00+01:00,53,0,53,0
Hamburg,2020-03-15T15:00:00+01:00,162,0,162,0
Hessen,2020-03-15T15:00:00+01:00,286,0,207,0
Mecklenburg-Vorpommern,2020-03-15T15:00:00+01:00,50,0,33,0
Niedersachsen,2020-03-15T15:00:00+01:00,287,0,238,0
Nordrhein-Westfalen,2020-03-15T15:00:00+01:00,1407,5,1407,5
Rheinland-Pfalz,2020-03-15T15:00:00+01:00,168,0,168,0
Saarland,2020-03-15T15:00:00+01:00,32,0,32,0
Sachsen,2020-03-15T15:00:00+01:00,130,0,91,0
Sachsen-Anhalt,2020-03-15T15:00:00+01:00,47,0,40,0
Schleswig-Holstein,2020-03-15T15:00:00+01:00,103,0,79,0
Thüringen,2020-03-15T15:00:00+01:00,51,0,36,0
