Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-10-20T00:00:00+02:00,601635,10855
Bayern,09,2021-10-20T00:00:00+02:00,769487,15911
Berlin,11,2021-10-20T00:00:00+02:00,215360,3667
Brandenburg,12,2021-10-20T00:00:00+02:00,120092,3873
Bremen,04,2021-10-20T00:00:00+02:00,34502,523
Hamburg,02,2021-10-20T00:00:00+02:00,94942,1763
Hessen,06,2021-10-20T00:00:00+02:00,343954,7808
Mecklenburg-Vorpommern,13,2021-10-20T00:00:00+02:00,51215,1219
Niedersachsen,03,2021-10-20T00:00:00+02:00,310817,6041
Nordrhein-Westfalen,05,2021-10-20T00:00:00+02:00,985200,18054
Rheinland-Pfalz,07,2021-10-20T00:00:00+02:00,187112,4052
Saarland,10,2021-10-20T00:00:00+02:00,48840,1060
Sachsen,14,2021-10-20T00:00:00+02:00,309321,10262
Sachsen-Anhalt,15,2021-10-20T00:00:00+02:00,107736,3564
Schleswig-Holstein,01,2021-10-20T00:00:00+02:00,78793,1707
Thüringen,16,2021-10-20T00:00:00+02:00,142625,4449
