Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-09-16T00:00:00+02:00,45755,1868
Bayern,2020-09-16T00:00:00+02:00,62809,2647
Berlin,2020-09-16T00:00:00+02:00,12463,227
Brandenburg,2020-09-16T00:00:00+02:00,4033,169
Bremen,2020-09-16T00:00:00+02:00,2159,59
Hamburg,2020-09-16T00:00:00+02:00,6917,268
Hessen,2020-09-16T00:00:00+02:00,17084,542
Mecklenburg-Vorpommern,2020-09-16T00:00:00+02:00,1074,20
Niedersachsen,2020-09-16T00:00:00+02:00,18160,667
Nordrhein-Westfalen,2020-09-16T00:00:00+02:00,63155,1837
Rheinland-Pfalz,2020-09-16T00:00:00+02:00,9859,247
Saarland,2020-09-16T00:00:00+02:00,3240,175
Sachsen,2020-09-16T00:00:00+02:00,6467,226
Sachsen-Anhalt,2020-09-16T00:00:00+02:00,2366,66
Schleswig-Holstein,2020-09-16T00:00:00+02:00,4288,161
Thüringen,2020-09-16T00:00:00+02:00,3834,189
