Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-04-18T00:00:00+02:00,27258,919
Bayern,2020-04-18T00:00:00+02:00,36881,1198
Berlin,2020-04-18T00:00:00+02:00,5066,91
Brandenburg,2020-04-18T00:00:00+02:00,2161,62
Bremen,2020-04-18T00:00:00+02:00,567,24
Hamburg,2020-04-18T00:00:00+02:00,4118,90
Hessen,2020-04-18T00:00:00+02:00,6916,212
Mecklenburg-Vorpommern,2020-04-18T00:00:00+02:00,645,14
Niedersachsen,2020-04-18T00:00:00+02:00,8649,281
Nordrhein-Westfalen,2020-04-18T00:00:00+02:00,28006,791
Rheinland-Pfalz,2020-04-18T00:00:00+02:00,5324,99
Saarland,2020-04-18T00:00:00+02:00,2289,86
Sachsen,2020-04-18T00:00:00+02:00,4140,103
Sachsen-Anhalt,2020-04-18T00:00:00+02:00,1315,29
Schleswig-Holstein,2020-04-18T00:00:00+02:00,2387,61
Thüringen,2020-04-18T00:00:00+02:00,1717,50
