Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-05-28T00:00:00+02:00,34129,1724
Bayern,2020-05-28T00:00:00+02:00,46729,2438
Berlin,2020-05-28T00:00:00+02:00,6703,195
Brandenburg,2020-05-28T00:00:00+02:00,3261,155
Bremen,2020-05-28T00:00:00+02:00,1348,41
Hamburg,2020-05-28T00:00:00+02:00,5076,245
Hessen,2020-05-28T00:00:00+02:00,9915,471
Mecklenburg-Vorpommern,2020-05-28T00:00:00+02:00,760,20
Niedersachsen,2020-05-28T00:00:00+02:00,11750,583
Nordrhein-Westfalen,2020-05-28T00:00:00+02:00,37698,1582
Rheinland-Pfalz,2020-05-28T00:00:00+02:00,6652,230
Saarland,2020-05-28T00:00:00+02:00,2731,161
Sachsen,2020-05-28T00:00:00+02:00,5260,210
Sachsen-Anhalt,2020-05-28T00:00:00+02:00,1701,55
Schleswig-Holstein,2020-05-28T00:00:00+02:00,3072,143
Thüringen,2020-05-28T00:00:00+02:00,2932,158
