Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-09-13T00:00:00+02:00,4421116,17052
Bayern,09,2022-09-13T00:00:00+02:00,5893833,25587
Berlin,11,2022-09-13T00:00:00+02:00,1242968,4778
Brandenburg,12,2022-09-13T00:00:00+02:00,932257,5877
Bremen,04,2022-09-13T00:00:00+02:00,253198,828
Hamburg,02,2022-09-13T00:00:00+02:00,718064,3009
Hessen,06,2022-09-13T00:00:00+02:00,2440192,10987
Mecklenburg-Vorpommern,13,2022-09-13T00:00:00+02:00,590892,2432
Niedersachsen,03,2022-09-13T00:00:00+02:00,3138313,10633
Nordrhein-Westfalen,05,2022-09-13T00:00:00+02:00,6672564,27204
Rheinland-Pfalz,07,2022-09-13T00:00:00+02:00,1464372,6096
Saarland,10,2022-09-13T00:00:00+02:00,401504,1835
Sachsen,14,2022-09-13T00:00:00+02:00,1728039,15949
Sachsen-Anhalt,15,2022-09-13T00:00:00+02:00,827952,5681
Schleswig-Holstein,01,2022-09-13T00:00:00+02:00,993059,2849
Thüringen,16,2022-09-13T00:00:00+02:00,788857,7592
