Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-08-19T00:00:00+02:00,38968,1860
Bayern,2020-08-19T00:00:00+02:00,53707,2631
Berlin,2020-08-19T00:00:00+02:00,10394,224
Brandenburg,2020-08-19T00:00:00+02:00,3728,169
Bremen,2020-08-19T00:00:00+02:00,1865,56
Hamburg,2020-08-19T00:00:00+02:00,5927,264
Hessen,2020-08-19T00:00:00+02:00,13842,528
Mecklenburg-Vorpommern,2020-08-19T00:00:00+02:00,978,20
Niedersachsen,2020-08-19T00:00:00+02:00,15562,656
Nordrhein-Westfalen,2020-08-19T00:00:00+02:00,55375,1783
Rheinland-Pfalz,2020-08-19T00:00:00+02:00,8334,242
Saarland,2020-08-19T00:00:00+02:00,3017,174
Sachsen,2020-08-19T00:00:00+02:00,5749,226
Sachsen-Anhalt,2020-08-19T00:00:00+02:00,2134,64
Schleswig-Holstein,2020-08-19T00:00:00+02:00,3825,160
Thüringen,2020-08-19T00:00:00+02:00,3509,186
