Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-02-16T00:00:00+01:00,1784165,13955
Bayern,09,2022-02-16T00:00:00+01:00,2348264,20934
Berlin,11,2022-02-16T00:00:00+01:00,663425,4173
Brandenburg,12,2022-02-16T00:00:00+01:00,446606,5095
Bremen,04,2022-02-16T00:00:00+01:00,105821,667
Hamburg,02,2022-02-16T00:00:00+01:00,320329,2221
Hessen,06,2022-02-16T00:00:00+01:00,946837,9035
Mecklenburg-Vorpommern,13,2022-02-16T00:00:00+01:00,197740,1709
Niedersachsen,03,2022-02-16T00:00:00+01:00,876119,7278
Nordrhein-Westfalen,05,2022-02-16T00:00:00+01:00,2657280,21652
Rheinland-Pfalz,07,2022-02-16T00:00:00+01:00,497970,4887
Saarland,10,2022-02-16T00:00:00+01:00,136429,1365
Sachsen,14,2022-02-16T00:00:00+01:00,837254,14237
Sachsen-Anhalt,15,2022-02-16T00:00:00+01:00,340691,4684
Schleswig-Holstein,01,2022-02-16T00:00:00+01:00,277258,2058
Thüringen,16,2022-02-16T00:00:00+01:00,364127,6517
