Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-09-12T00:00:00+02:00,44903,1867
Bayern,2020-09-12T00:00:00+02:00,61561,2645
Berlin,2020-09-12T00:00:00+02:00,12216,226
Brandenburg,2020-09-12T00:00:00+02:00,4003,169
Bremen,2020-09-12T00:00:00+02:00,2117,58
Hamburg,2020-09-12T00:00:00+02:00,6770,267
Hessen,2020-09-12T00:00:00+02:00,16714,538
Mecklenburg-Vorpommern,2020-09-12T00:00:00+02:00,1055,20
Niedersachsen,2020-09-12T00:00:00+02:00,17783,667
Nordrhein-Westfalen,2020-09-12T00:00:00+02:00,61820,1828
Rheinland-Pfalz,2020-09-12T00:00:00+02:00,9649,246
Saarland,2020-09-12T00:00:00+02:00,3225,175
Sachsen,2020-09-12T00:00:00+02:00,6351,226
Sachsen-Anhalt,2020-09-12T00:00:00+02:00,2330,66
Schleswig-Holstein,2020-09-12T00:00:00+02:00,4218,161
Thüringen,2020-09-12T00:00:00+02:00,3765,188
