Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2023-03-31T00:00:00+02:00,5072622,19479
Bayern,09,2023-03-31T00:00:00+02:00,6755558,29002
Berlin,11,2023-03-31T00:00:00+02:00,1436654,5656
Brandenburg,12,2023-03-31T00:00:00+02:00,1117544,6554
Bremen,04,2023-03-31T00:00:00+02:00,304516,992
Hamburg,02,2023-03-31T00:00:00+02:00,808962,3653
Hessen,06,2023-03-31T00:00:00+02:00,2935758,12575
Mecklenburg-Vorpommern,13,2023-03-31T00:00:00+02:00,714494,2796
Niedersachsen,03,2023-03-31T00:00:00+02:00,3871745,13926
Nordrhein-Westfalen,05,2023-03-31T00:00:00+02:00,8072952,31864
Rheinland-Pfalz,07,2023-03-31T00:00:00+02:00,1774818,7070
Saarland,10,2023-03-31T00:00:00+02:00,494619,2171
Sachsen,14,2023-03-31T00:00:00+02:00,1961832,16893
Sachsen-Anhalt,15,2023-03-31T00:00:00+02:00,964355,6332
Schleswig-Holstein,01,2023-03-31T00:00:00+02:00,1178634,3524
Thüringen,16,2023-03-31T00:00:00+02:00,886579,8352
