Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-06-12T00:00:00+02:00,35057,1802
Bayern,2020-06-12T00:00:00+02:00,47574,2538
Berlin,2020-06-12T00:00:00+02:00,7165,208
Brandenburg,2020-06-12T00:00:00+02:00,3306,161
Bremen,2020-06-12T00:00:00+02:00,1573,45
Hamburg,2020-06-12T00:00:00+02:00,5134,254
Hessen,2020-06-12T00:00:00+02:00,10313,489
Mecklenburg-Vorpommern,2020-06-12T00:00:00+02:00,780,20
Niedersachsen,2020-06-12T00:00:00+02:00,12777,610
Nordrhein-Westfalen,2020-06-12T00:00:00+02:00,39060,1643
Rheinland-Pfalz,2020-06-12T00:00:00+02:00,6827,231
Saarland,2020-06-12T00:00:00+02:00,2769,168
Sachsen,2020-06-12T00:00:00+02:00,5344,219
Sachsen-Anhalt,2020-06-12T00:00:00+02:00,1732,56
Schleswig-Holstein,2020-06-12T00:00:00+02:00,3120,148
Thüringen,2020-06-12T00:00:00+02:00,3143,171
