Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-10-13T00:00:00+02:00,54939,1903
Bayern,2020-10-13T00:00:00+02:00,73788,2689
Berlin,2020-10-13T00:00:00+02:00,18327,234
Brandenburg,2020-10-13T00:00:00+02:00,4794,169
Bremen,2020-10-13T00:00:00+02:00,3113,61
Hamburg,2020-10-13T00:00:00+02:00,9040,277
Hessen,2020-10-13T00:00:00+02:00,22310,562
Mecklenburg-Vorpommern,2020-10-13T00:00:00+02:00,1416,20
Niedersachsen,2020-10-13T00:00:00+02:00,23265,696
Nordrhein-Westfalen,2020-10-13T00:00:00+02:00,81192,1917
Rheinland-Pfalz,2020-10-13T00:00:00+02:00,12235,257
Saarland,2020-10-13T00:00:00+02:00,3720,177
Sachsen,2020-10-13T00:00:00+02:00,8559,248
Sachsen-Anhalt,2020-10-13T00:00:00+02:00,2942,68
Schleswig-Holstein,2020-10-13T00:00:00+02:00,5325,162
Thüringen,2020-10-13T00:00:00+02:00,4488,194
