Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-03-28T00:00:00+01:00,9781,101
Bayern,2020-03-28T00:00:00+01:00,11150,77
Berlin,2020-03-28T00:00:00+01:00,2161,8
Brandenburg,2020-03-28T00:00:00+01:00,645,1
Bremen,2020-03-28T00:00:00+01:00,260,2
Hamburg,2020-03-28T00:00:00+01:00,1765,2
Hessen,2020-03-28T00:00:00+01:00,2604,9
Mecklenburg-Vorpommern,2020-03-28T00:00:00+01:00,308,0
Niedersachsen,2020-03-28T00:00:00+01:00,3150,12
Nordrhein-Westfalen,2020-03-28T00:00:00+01:00,10607,80
Rheinland-Pfalz,2020-03-28T00:00:00+01:00,2212,11
Saarland,2020-03-28T00:00:00+01:00,550,2
Sachsen,2020-03-28T00:00:00+01:00,1432,9
Sachsen-Anhalt,2020-03-28T00:00:00+01:00,458,2
Schleswig-Holstein,2020-03-28T00:00:00+01:00,915,4
Thüringen,2020-03-28T00:00:00+01:00,584,5
