Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-05-30T00:00:00+02:00,34718,1748
Bayern,2020-05-30T00:00:00+02:00,46854,2450
Berlin,2020-05-30T00:00:00+02:00,6767,197
Brandenburg,2020-05-30T00:00:00+02:00,3266,155
Bremen,2020-05-30T00:00:00+02:00,1398,42
Hamburg,2020-05-30T00:00:00+02:00,5082,246
Hessen,2020-05-30T00:00:00+02:00,10003,476
Mecklenburg-Vorpommern,2020-05-30T00:00:00+02:00,760,20
Niedersachsen,2020-05-30T00:00:00+02:00,11958,593
Nordrhein-Westfalen,2020-05-30T00:00:00+02:00,37910,1595
Rheinland-Pfalz,2020-05-30T00:00:00+02:00,6695,230
Saarland,2020-05-30T00:00:00+02:00,2723,163
Sachsen,2020-05-30T00:00:00+02:00,5297,213
Sachsen-Anhalt,2020-05-30T00:00:00+02:00,1701,55
Schleswig-Holstein,2020-05-30T00:00:00+02:00,3090,145
Thüringen,2020-05-30T00:00:00+02:00,2974,161
