Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-06-14T00:00:00+02:00,35090,1805
Bayern,2020-06-14T00:00:00+02:00,47626,2541
Berlin,2020-06-14T00:00:00+02:00,7282,208
Brandenburg,2020-06-14T00:00:00+02:00,3326,163
Bremen,2020-06-14T00:00:00+02:00,1589,46
Hamburg,2020-06-14T00:00:00+02:00,5139,255
Hessen,2020-06-14T00:00:00+02:00,10324,491
Mecklenburg-Vorpommern,2020-06-14T00:00:00+02:00,782,20
Niedersachsen,2020-06-14T00:00:00+02:00,12874,614
Nordrhein-Westfalen,2020-06-14T00:00:00+02:00,39233,1645
Rheinland-Pfalz,2020-06-14T00:00:00+02:00,6840,231
Saarland,2020-06-14T00:00:00+02:00,2772,168
Sachsen,2020-06-14T00:00:00+02:00,5346,218
Sachsen-Anhalt,2020-06-14T00:00:00+02:00,1756,57
Schleswig-Holstein,2020-06-14T00:00:00+02:00,3121,151
Thüringen,2020-06-14T00:00:00+02:00,3169,174
