Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-09-21T00:00:00+02:00,47107,1871
Bayern,2020-09-21T00:00:00+02:00,64919,2648
Berlin,2020-09-21T00:00:00+02:00,13109,227
Brandenburg,2020-09-21T00:00:00+02:00,4090,169
Bremen,2020-09-21T00:00:00+02:00,2219,59
Hamburg,2020-09-21T00:00:00+02:00,7165,269
Hessen,2020-09-21T00:00:00+02:00,17637,544
Mecklenburg-Vorpommern,2020-09-21T00:00:00+02:00,1105,20
Niedersachsen,2020-09-21T00:00:00+02:00,18900,669
Nordrhein-Westfalen,2020-09-21T00:00:00+02:00,65232,1845
Rheinland-Pfalz,2020-09-21T00:00:00+02:00,10116,247
Saarland,2020-09-21T00:00:00+02:00,3234,176
Sachsen,2020-09-21T00:00:00+02:00,6692,226
Sachsen-Anhalt,2020-09-21T00:00:00+02:00,2453,66
Schleswig-Holstein,2020-09-21T00:00:00+02:00,4421,161
Thüringen,2020-09-21T00:00:00+02:00,3938,189
