Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2021-12-22T00:00:00+01:00,980958,12677
Bayern,09,2021-12-22T00:00:00+01:00,1292660,19220
Berlin,11,2021-12-22T00:00:00+01:00,314953,3976
Brandenburg,12,2021-12-22T00:00:00+01:00,229393,4527
Bremen,04,2021-12-22T00:00:00+01:00,44830,580
Hamburg,02,2021-12-22T00:00:00+01:00,130703,1956
Hessen,06,2021-12-22T00:00:00+01:00,462586,8458
Mecklenburg-Vorpommern,13,2021-12-22T00:00:00+01:00,94386,1436
Niedersachsen,03,2021-12-22T00:00:00+01:00,425733,6722
Nordrhein-Westfalen,05,2021-12-22T00:00:00+01:00,1331739,19965
Rheinland-Pfalz,07,2021-12-22T00:00:00+01:00,269565,4528
Saarland,10,2021-12-22T00:00:00+01:00,71504,1214
Sachsen,14,2021-12-22T00:00:00+01:00,628540,12408
Sachsen-Anhalt,15,2021-12-22T00:00:00+01:00,214294,4138
Schleswig-Holstein,01,2021-12-22T00:00:00+01:00,111380,1862
Thüringen,16,2021-12-22T00:00:00+01:00,275485,5657
